StudyYear,SampleDate,PlotID,FishTreatment,BirdTreatment,treatment,ElapsedDays,ElapsedDays2,Pre_Post,SamplingOccasion,MeanTemp,MeanDO,MeanDepth,total,DensityRounded
Year1,12/27/2023,6E,Fish,NoBirds,NoBirds Fish,38,1444,Post,12/27/2023,10.31087963,9.169166667,29.21,1140.206023,1140
Year1,12/27/2023,7C,Fish,Birds,Birds Fish,38,1444,Post,12/27/2023,10.23402778,9.085833333,33.02,2585.12222,2585
Year1,12/27/2023,7E,Fish,NoBirds,NoBirds Fish,38,1444,Post,12/27/2023,10.34305556,8.885416667,32.512,4177.478474,4177
Year1,12/27/2023,8C,NoFish,Birds,Birds NoFish,38,1444,Post,12/27/2023,10.11157407,8.131666667,34.29,4685.329349,4685
Year1,12/27/2023,8E,NoFish,NoBirds,NoBirds NoFish,38,1444,Post,12/27/2023,10.11342593,8.249583333,33.02,1307.305182,1307
Year1,1/8/2024,1C,Fish,Birds,Birds Fish,50,2500,Post,1/8/2024,7.514583333,10.25291667,27.178,157.2697963,157
Year1,1/8/2024,1E,Fish,NoBirds,NoBirds Fish,50,2500,Post,1/8/2024,7.399074074,9.951666667,25.4,550.4442871,550
Year1,1/8/2024,2C,NoFish,Birds,Birds NoFish,50,2500,Post,1/8/2024,7.507407407,10.79833333,27.94,211.3312888,211
Year1,1/8/2024,2E,NoFish,NoBirds,NoBirds NoFish,50,2500,Post,1/8/2024,7.212268519,10.66083333,30.48,673.3113155,673
Year1,1/8/2024,3C,NoFish,Birds,Birds NoFish,50,2500,Post,1/8/2024,7.396990741,10.00875,27.94,1150.035386,1150
Year1,1/8/2024,3E,NoFish,NoBirds,NoBirds NoFish,50,2500,Post,1/8/2024,7.390046296,9.990416667,22.86,683.1406778,683
Year1,1/8/2024,4C,Fish,Birds,Birds Fish,50,2500,Post,1/8/2024,7.413194444,10.6425,30.48,324.368955,324
Year1,1/8/2024,4E,Fish,NoBirds,NoBirds Fish,50,2500,Post,1/8/2024,7.054861111,11.27875,35.56,2318.091269,2318
Year1,1/8/2024,5C,NoFish,Birds,Birds NoFish,50,2500,Post,1/8/2024,7.340972222,8.515416667,25.908,1787.156777,1787
Year1,1/8/2024,5E,NoFish,NoBirds,NoBirds NoFish,50,2500,Post,1/8/2024,7.354861111,10.28,25.4,2594.951716,2595
Year1,1/8/2024,6C,Fish,Birds,Birds Fish,50,2500,Post,1/8/2024,7.489583333,11.205,24.13,2457.340514,2457
Year1,1/8/2024,6E,Fish,NoBirds,NoBirds Fish,50,2500,Post,1/8/2024,7.263657407,11.01583333,25.908,1130.376661,1130
Year1,1/8/2024,7C,Fish,Birds,Birds Fish,50,2500,Post,1/8/2024,7.389351852,10.97958333,27.94,11736.25855,11736
Year1,1/8/2024,7E,Fish,NoBirds,NoBirds Fish,50,2500,Post,1/8/2024,7.312731481,11.06791667,27.94,3283.006999,3283
Year1,1/8/2024,8C,NoFish,Birds,Birds NoFish,50,2500,Post,1/8/2024,7.171527778,9.894166667,29.21,5268.5382,5269
Year1,1/8/2024,8E,NoFish,NoBirds,NoBirds NoFish,50,2500,Post,1/8/2024,6.846527778,9.5025,27.94,1111.474041,1111
Year1,1/22/2024,1C,Fish,Birds,Birds Fish,64,4096,Post,1/22/2024,13.19675926,9.405416667,34.29,1135.291342,1135
Year1,1/22/2024,1E,Fish,NoBirds,NoBirds Fish,64,4096,Post,1/22/2024,13.11134259,8.557916667,34.29,1975.701816,1976
Year1,1/22/2024,2C,NoFish,Birds,Birds NoFish,64,4096,Post,1/22/2024,13.19027778,9.362916667,31.115,2997.9559,2998
Year1,1/22/2024,2E,NoFish,NoBirds,NoBirds NoFish,64,4096,Post,1/22/2024,13.29305556,9.624166667,28.956,978.0215459,978
Year1,1/22/2024,3C,NoFish,Birds,Birds NoFish,64,4096,Post,1/22/2024,13.14953704,9.484583333,31.496,2191.947786,2192
Year1,1/22/2024,3E,NoFish,NoBirds,NoBirds NoFish,64,4096,Post,1/22/2024,13.20763889,9.274166667,29.21,1759.455824,1759
Year1,1/22/2024,4C,Fish,Birds,Birds Fish,64,4096,Post,1/22/2024,13.19907407,9.421666667,33.02,3037.272942,3037
Year1,1/22/2024,4E,Fish,NoBirds,NoBirds Fish,64,4096,Post,1/22/2024,13.24212963,9.870416667,32.512,3797.708455,3798
Year1,1/22/2024,5C,NoFish,Birds,Birds NoFish,64,4096,Post,1/22/2024,13.27060185,9.240833333,35.56,3302.05127,3302
Year1,1/22/2024,5E,NoFish,NoBirds,NoBirds NoFish,64,4096,Post,1/22/2024,13.21921296,9.6625,39.37,2418.023119,2418
Year1,1/22/2024,6C,Fish,Birds,Birds Fish,64,4096,Post,1/22/2024,13.18425926,9.852083333,35.56,3174.883742,3175
Year1,1/22/2024,6E,Fish,NoBirds,NoBirds Fish,64,4096,Post,1/22/2024,13.18958333,9.969583333,30.48,599.591054,600
Year1,1/22/2024,7C,Fish,Birds,Birds Fish,64,4096,Post,1/22/2024,13.19305556,9.665,29.972,3784.304474,3784
Year1,1/22/2024,7E,Fish,NoBirds,NoBirds Fish,64,4096,Post,1/22/2024,13.19884259,9.579166667,36.3982,2128.056932,2128
Year1,1/22/2024,8C,NoFish,Birds,Birds NoFish,64,4096,Post,1/22/2024,13.34722222,8.277916667,35.56,11225.13088,11225
Year1,1/22/2024,8E,NoFish,NoBirds,NoBirds NoFish,64,4096,Post,1/22/2024,13.38935185,6.40875,33.02,1744.711803,1745
Year1,2/5/2024,1C,Fish,Birds,Birds Fish,78,6084,Post,2/5/2024,11.97592593,9.640416667,33.655,5992.130461,5992
Year1,2/5/2024,1E,Fish,NoBirds,NoBirds Fish,78,6084,Post,2/5/2024,12.01087963,9.647083333,29.845,4177.478965,4177
Year1,2/5/2024,2C,NoFish,Birds,Birds NoFish,78,6084,Post,2/5/2024,11.9337963,9.74875,29.845,21034.83954,21035
Year1,2/5/2024,2E,NoFish,NoBirds,NoBirds NoFish,78,6084,Post,2/5/2024,11.95486111,9.781666667,33.02,1228.670284,1229
Year1,2/5/2024,3C,NoFish,Birds,Birds NoFish,78,6084,Post,2/5/2024,11.89513889,9.805416667,31.75,3038.911169,3039
Year1,2/5/2024,3E,NoFish,NoBirds,NoBirds NoFish,78,6084,Post,2/5/2024,11.96666667,9.89,24.13,5765.299024,5765
Year1,2/5/2024,4C,Fish,Birds,Birds Fish,78,6084,Post,2/5/2024,11.9,9.703333333,27.94,14891.48384,14891
Year1,2/5/2024,4E,Fish,NoBirds,NoBirds Fish,78,6084,Post,2/5/2024,11.89305556,9.882083333,37.338,4914.681136,4915
Year1,2/5/2024,5C,NoFish,Birds,Birds NoFish,78,6084,Post,2/5/2024,11.97453704,9.361666667,26.035,1346.622635,1347
Year1,2/5/2024,5E,NoFish,NoBirds,NoBirds NoFish,78,6084,Post,2/5/2024,11.9775463,9.7925,30.48,66880.61912,66881
Year1,2/5/2024,6C,Fish,Birds,Birds Fish,78,6084,Post,2/5/2024,12.03333333,10.04291667,32.004,6339.938664,6340
Year1,2/5/2024,6E,Fish,NoBirds,NoBirds Fish,78,6084,Post,2/5/2024,12.07916667,10.03958333,33.02,1257.372022,1257
Year1,2/5/2024,7C,Fish,Birds,Birds Fish,78,6084,Post,2/5/2024,12.07013889,9.0225,29.21,15038.92427,15039
Year1,2/5/2024,7E,Fish,NoBirds,NoBirds Fish,78,6084,Post,2/5/2024,12.1474537,10.24291667,29.21,3653.24631,3653
Year1,2/5/2024,8C,NoFish,Birds,Birds NoFish,78,6084,Post,2/5/2024,12.1712963,9.93,25.4,4455.977563,4456
Year1,2/5/2024,8E,NoFish,NoBirds,NoBirds NoFish,78,6084,Post,2/5/2024,12.28657407,8.481666667,30.48,3317.409766,3317
Year2,11/5/2024,1C,Fish,Birds,Birds Fish,1,1,Pre,11/5/2024,13.81166667,8.61875,15.24,7396.595109,7397
Year2,11/5/2024,1E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/5/2024,13.82666667,8.240833333,15.24,21305.14272,21305
Year2,11/5/2024,2C,NoFish,Birds,Birds NoFish,1,1,Pre,11/5/2024,13.70416667,9.447916667,17.78,3894.8848,3895
Year2,11/5/2024,2E,NoFish,NoBirds,NoBirds NoFish,1,1,Pre,11/5/2024,13.76083333,8.47875,17.78,3538.570418,3539
Year2,11/5/2024,3C,NoFish,Birds,Birds NoFish,1,1,Pre,11/5/2024,13.54208333,9.117291667,21.59,9841.648974,9842
Year2,11/5/2024,3E,NoFish,NoBirds,NoBirds NoFish,1,1,Pre,11/5/2024,13.7725,9.150833333,15.24,11238.23753,11238
Year2,11/5/2024,4C,Fish,Birds,Birds Fish,1,1,Pre,11/5/2024,13.72916667,9.282083333,25.4,3646.693402,3647
Year2,11/5/2024,4E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/5/2024,13.69333333,9.422916667,20.32,30323.58261,30324
Year2,11/5/2024,5C,NoFish,Birds,Birds NoFish,1,1,Pre,11/5/2024,13.6375,8.959583333,21.59,914.1306913,914
Year2,11/5/2024,5E,NoFish,NoBirds,NoBirds NoFish,1,1,Pre,11/5/2024,13.7675,8.92375,20.32,12544.7236,12545
Year2,11/5/2024,6C,Fish,Birds,Birds Fish,1,1,Pre,11/5/2024,13.815,9.70125,22.86,8821.852638,8822
Year2,11/5/2024,6E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/5/2024,13.71833333,8.867916667,17.78,9399.327671,9399
Year2,11/5/2024,7C,Fish,Birds,Birds Fish,1,1,Pre,11/5/2024,13.56583333,9.129583333,25.4,683.1406778,683
Year2,11/5/2024,7E,Fish,NoBirds,NoBirds Fish,1,1,Pre,11/5/2024,13.78166667,9.405,20.32,12753.59755,12754
Year2,11/5/2024,8C,NoFish,Birds,Birds NoFish,1,1,Pre,11/5/2024,13.58833333,7.92375,22.86,5447.104925,5447
Year2,11/5/2024,8E,NoFish,NoBirds,NoBirds NoFish,1,1,Pre,11/5/2024,13.65,4.135833333,10.16,3849.833556,3850
Year2,11/19/2024,1C,Fish,Birds,Birds Fish,15,225,Pre,11/19/2024,9.833333333,7.846666667,24.13,9755.642055,9756
Year2,11/19/2024,1E,Fish,NoBirds,NoBirds Fish,15,225,Pre,11/19/2024,10.07916667,7.860833333,28.575,19093.53621,19094
Year2,11/19/2024,2C,NoFish,Birds,Birds NoFish,15,225,Pre,11/19/2024,9.875,10.04416667,22.225,14228.00189,14228
Year2,11/19/2024,2E,NoFish,NoBirds,NoBirds NoFish,15,225,Pre,11/19/2024,9.871666667,9.215833333,25.4,2907.853006,2908
Year2,11/19/2024,3C,NoFish,Birds,Birds NoFish,15,225,Pre,11/19/2024,9.724583333,9.390416667,21.59,6491.474666,6491
Year2,11/19/2024,3E,NoFish,NoBirds,NoBirds NoFish,15,225,Pre,11/19/2024,9.856666667,9.695,24.13,7027.994024,7028
Year2,11/19/2024,4C,Fish,Birds,Birds Fish,15,225,Pre,11/19/2024,9.935,9.653333333,22.86,15481.24558,15481
Year2,11/19/2024,4E,Fish,NoBirds,NoBirds Fish,15,225,Pre,11/19/2024,9.78,10.3975,25.146,5651.883306,5652
Year2,11/19/2024,5C,NoFish,Birds,Birds NoFish,15,225,Pre,11/19/2024,9.803333333,9.714166667,27.94,2512.630731,2513
Year2,11/19/2024,5E,NoFish,NoBirds,NoBirds NoFish,15,225,Pre,11/19/2024,9.97,9.227916667,24.765,884.6426044,885
Year2,11/19/2024,6C,Fish,Birds,Birds Fish,15,225,Pre,11/19/2024,10.015,10.21333333,27.305,2993.040812,2993
Year2,11/19/2024,6E,Fish,NoBirds,NoBirds Fish,15,225,Pre,11/19/2024,9.874166667,8.931666667,22.225,2791.538885,2792
Year2,11/19/2024,7C,Fish,Birds,Birds Fish,15,225,Pre,11/19/2024,9.801666667,9.350833333,19.685,6708.53975,6709
Year2,11/19/2024,7E,Fish,NoBirds,NoBirds Fish,15,225,Pre,11/19/2024,10.08416667,9.110416667,24.13,3796.591177,3797
Year2,11/19/2024,8C,NoFish,Birds,Birds NoFish,15,225,Pre,11/19/2024,9.785,7.73375,28.575,20715.38099,20715
Year2,11/19/2024,8E,NoFish,NoBirds,NoBirds NoFish,15,225,Pre,11/19/2024,9.6,4.16375,13.335,3290.699543,3291
Year2,12/3/2024,1C,Fish,Birds,Birds Fish,29,841,Pre,12/3/2024,11.20666667,7.489166667,26.67,3862.939372,3863
Year2,12/3/2024,1E,Fish,NoBirds,NoBirds Fish,29,841,Pre,12/3/2024,11.52,7.497916667,22.86,6855.980185,6856
Year2,12/3/2024,2C,NoFish,Birds,Birds NoFish,29,841,Pre,12/3/2024,11.39166667,9.989583333,25.4,3845.737989,3846
Year2,12/3/2024,2E,NoFish,NoBirds,NoBirds NoFish,29,841,Pre,12/3/2024,11.205,7.62,22.86,3579.526094,3580
Year2,12/3/2024,3C,NoFish,Birds,Birds NoFish,29,841,Pre,12/3/2024,11.34083333,9.22375,27.94,3759.731069,3760
Year2,12/3/2024,3E,NoFish,NoBirds,NoBirds NoFish,29,841,Pre,12/3/2024,11.23916667,9.600416667,21.59,3047.102304,3047
Year2,12/3/2024,4C,Fish,Birds,Birds Fish,29,841,Pre,12/3/2024,11.32083333,9.72625,30.48,2838.228356,2838
Year2,12/3/2024,4E,Fish,NoBirds,NoBirds Fish,29,841,Pre,12/3/2024,11.09166667,8.639166667,24.13,6487.379099,6487
Year2,12/3/2024,5C,NoFish,Birds,Birds NoFish,29,841,Pre,12/3/2024,11.2525,9.56375,26.67,3236.668576,3237
Year2,12/3/2024,5E,NoFish,NoBirds,NoBirds NoFish,29,841,Pre,12/3/2024,11.19,8.922083333,27.94,2662.118948,2662
Year2,12/3/2024,6C,Fish,Birds,Birds Fish,29,841,Pre,12/3/2024,11.305,10.3225,30.48,5553.589683,5554
Year2,12/3/2024,6E,Fish,NoBirds,NoBirds Fish,29,841,Pre,12/3/2024,11.17,9.180833333,25.4,3636.86404,3637
Year2,12/3/2024,7C,Fish,Birds,Birds Fish,29,841,Pre,12/3/2024,11.1175,9.552083333,30.48,1929.012346,1929
Year2,12/3/2024,7E,Fish,NoBirds,NoBirds Fish,29,841,Pre,12/3/2024,11.31833333,3.27375,25.4,2523.688763,2524
Year2,12/3/2024,8C,NoFish,Birds,Birds NoFish,29,841,Pre,12/3/2024,10.95416667,1.777916667,30.48,1880.684648,1881
Year2,12/3/2024,8E,NoFish,NoBirds,NoBirds NoFish,29,841,Pre,12/3/2024,10.77916667,0.200833333,15.24,3676.181489,3676
Year2,12/17/2024,1C,Fish,Birds,Birds Fish,43,1849,Post,12/17/2024,10.00416667,9.67625,17.78,5500.662348,5501
Year2,12/17/2024,1E,Fish,NoBirds,NoBirds Fish,43,1849,Post,12/17/2024,10.06583333,9.952083333,17.78,7986.356845,7986
Year2,12/17/2024,2C,NoFish,Birds,Birds NoFish,43,1849,Post,12/17/2024,10.11666667,8.27125,20.066,13908.54761,13909
Year2,12/17/2024,2E,NoFish,NoBirds,NoBirds NoFish,43,1849,Post,12/17/2024,10.045,6.987083333,19.05,15677.83282,15678
Year2,12/17/2024,3C,NoFish,Birds,Birds NoFish,43,1849,Post,12/17/2024,9.9475,9.035833333,24.13,17889.43933,17889
Year2,12/17/2024,3E,NoFish,NoBirds,NoBirds NoFish,43,1849,Post,12/17/2024,9.975833333,8.270833333,17.78,15260.08493,15260
Year2,12/17/2024,4C,Fish,Birds,Birds Fish,43,1849,Post,12/17/2024,9.969166667,10.55583333,25.4,9010.248749,9010
Year2,12/17/2024,4E,Fish,NoBirds,NoBirds Fish,43,1849,Post,12/17/2024,9.8475,10.64125,24.13,11833.03996,11833
Year2,12/17/2024,5C,NoFish,Birds,Birds NoFish,43,1849,Post,12/17/2024,9.969166667,9.921666667,20.32,4656.660375,4657
Year2,12/17/2024,5E,NoFish,NoBirds,NoBirds NoFish,43,1849,Post,12/17/2024,10.01416667,10.38083333,19.05,22214.35873,22214
Year2,12/17/2024,6C,Fish,Birds,Birds Fish,43,1849,Post,12/17/2024,10.025,11.20666667,20.32,9608.20162,9608
Year2,12/17/2024,6E,Fish,NoBirds,NoBirds Fish,43,1849,Post,12/17/2024,NA,NA,25.4,14603.62394,14604
Year2,12/17/2024,7C,Fish,Birds,Birds Fish,43,1849,Post,12/17/2024,9.895833333,9.97,23.495,10259.39687,10259
Year2,12/17/2024,7E,Fish,NoBirds,NoBirds Fish,43,1849,Post,12/17/2024,9.998333333,9.972916667,26.67,6825.946022,6826
Year2,12/17/2024,8C,NoFish,Birds,Birds NoFish,43,1849,Post,12/17/2024,9.968333333,9.369583333,22.86,3697.180581,3697
Year2,12/17/2024,8E,NoFish,NoBirds,NoBirds NoFish,43,1849,Post,12/17/2024,9.994166667,5.130833333,13.97,15235.51152,15236
Year2,12/31/2024,1C,Fish,Birds,Birds Fish,57,3249,Post,12/31/2024,9.69,9.983333333,20.32,5504.442872,5504
Year2,12/31/2024,1E,Fish,NoBirds,NoBirds Fish,57,3249,Post,12/31/2024,9.790833333,10.18666667,20.32,8330.384524,8330
Year2,12/31/2024,2C,NoFish,Birds,Birds NoFish,57,3249,Post,12/31/2024,10.04083333,10.50625,22.86,2739.934733,2740
Year2,12/31/2024,2E,NoFish,NoBirds,NoBirds NoFish,57,3249,Post,12/31/2024,9.705,5.157083333,20.32,6189.426555,6189
Year2,12/31/2024,3C,NoFish,Birds,Birds NoFish,57,3249,Post,12/31/2024,9.726666667,8.72,22.86,16899.13109,16899
Year2,12/31/2024,3E,NoFish,NoBirds,NoBirds NoFish,57,3249,Post,12/31/2024,9.828333333,9.496666667,20.32,2653.927813,2654
Year2,12/31/2024,4C,Fish,Birds,Birds Fish,57,3249,Post,12/31/2024,9.971666667,9.935,25.4,5529.016277,5529
Year2,12/31/2024,4E,Fish,NoBirds,NoBirds Fish,57,3249,Post,12/31/2024,9.68,3.964583333,25.4,17271.59371,17272
Year2,12/31/2024,5C,NoFish,Birds,Birds NoFish,57,3249,Post,12/31/2024,9.835,9.137083333,27.94,12996.60123,12997
Year2,12/31/2024,5E,NoFish,NoBirds,NoBirds NoFish,57,3249,Post,12/31/2024,9.825833333,9.9525,22.86,11152.54565,11153
Year2,12/31/2024,6C,Fish,Birds,Birds Fish,57,3249,Post,12/31/2024,9.95,10.16916667,25.4,5651.883306,5652
Year2,12/31/2024,6E,Fish,NoBirds,NoBirds Fish,57,3249,Post,12/31/2024,9.585,5.77,22.86,8035.503656,8036
Year2,12/31/2024,7C,Fish,Birds,Birds Fish,57,3249,Post,12/31/2024,9.798333333,10.15,25.4,4214.339074,4214
Year2,12/31/2024,7E,Fish,NoBirds,NoBirds Fish,57,3249,Post,12/31/2024,9.794166667,7.062083333,27.94,6605.331446,6605
Year2,12/31/2024,8C,NoFish,Birds,Birds NoFish,57,3249,Post,12/31/2024,9.709166667,9.28375,22.86,10215.51579,10216
Year2,12/31/2024,8E,NoFish,NoBirds,NoBirds NoFish,57,3249,Post,12/31/2024,9.375,8.561666667,7.62,14112.15583,14112
Year2,1/14/2025,1C,Fish,Birds,Birds Fish,71,5041,Post,1/14/2025,8.516666667,10.16083333,22.86,7200.007864,7200
Year2,1/14/2025,1E,Fish,NoBirds,NoBirds Fish,71,5041,Post,1/14/2025,8.629166667,1.54625,21.59,11574.07407,11574
Year2,1/14/2025,2C,NoFish,Birds,Birds NoFish,71,5041,Post,1/14/2025,8.9525,10.82541667,22.86,3243.689549,3244
Year2,1/14/2025,2E,NoFish,NoBirds,NoBirds NoFish,71,5041,Post,1/14/2025,8.410833333,8.415833333,27.94,7845.937384,7846
Year2,1/14/2025,3C,NoFish,Birds,Birds NoFish,71,5041,Post,1/14/2025,8.534166667,9.177916667,25.4,7740.622788,7741
Year2,1/14/2025,3E,NoFish,NoBirds,NoBirds NoFish,71,5041,Post,1/14/2025,8.595833333,9.792916667,27.94,3105.464143,3105
Year2,1/14/2025,4C,Fish,Birds,Birds Fish,71,5041,Post,1/14/2025,8.849166667,10.39708333,29.21,12286.70284,12287
Year2,1/14/2025,4E,Fish,NoBirds,NoBirds Fish,71,5041,Post,1/14/2025,8.3225,8.2275,22.86,2469.627271,2470
Year2,1/14/2025,5C,NoFish,Birds,Birds NoFish,71,5041,Post,1/14/2025,8.609166667,10.23708333,26.67,2739.934733,2740
Year2,1/14/2025,5E,NoFish,NoBirds,NoBirds NoFish,71,5041,Post,1/14/2025,8.715,10.28291667,25.4,7344.717919,7345
Year2,1/14/2025,6C,Fish,Birds,Birds Fish,71,5041,Post,1/14/2025,8.908333333,10.75083333,25.4,11180.89958,11181
Year2,1/14/2025,6E,Fish,NoBirds,NoBirds Fish,71,5041,Post,1/14/2025,8.441666667,7.67875,25.4,3372.699929,3373
Year2,1/14/2025,7C,Fish,Birds,Birds Fish,71,5041,Post,1/14/2025,8.485833333,10.63375,30.48,1564.506828,1565
Year2,1/14/2025,7E,Fish,NoBirds,NoBirds Fish,71,5041,Post,1/14/2025,8.635833333,4.049583333,25.4,6669.924398,6670
Year2,1/14/2025,8C,NoFish,Birds,Birds NoFish,71,5041,Post,1/14/2025,8.715,9.655,27.94,18282.61382,18283
Year2,1/14/2025,8E,NoFish,NoBirds,NoBirds NoFish,71,5041,Post,1/14/2025,8.255833333,5.6975,17.78,16822.95353,16823
Year2,1/31/2025,1C,Fish,Birds,Birds Fish,88,7744,Post,1/31/2025,9.2425,8.08125,27.94,10861.44531,10861
Year2,1/31/2025,1E,Fish,NoBirds,NoBirds Fish,88,7744,Post,1/31/2025,9.1325,9.375416667,25.4,19118.10962,19118
Year2,1/31/2025,2C,NoFish,Birds,Birds NoFish,88,7744,Post,1/31/2025,9.203333333,7.200833333,25.4,4582.940158,4583
Year2,1/31/2025,2E,NoFish,NoBirds,NoBirds NoFish,88,7744,Post,1/31/2025,9.183333333,5.965833333,27.94,8354.95793,8355
Year2,1/31/2025,3C,NoFish,Birds,Birds NoFish,88,7744,Post,1/31/2025,9.251666667,6.499583333,27.94,25998.66321,25999
Year2,1/31/2025,4C,Fish,Birds,Birds Fish,88,7744,Post,1/31/2025,9.245833333,8.3725,30.48,36270.34678,36270
Year2,1/31/2025,4E,Fish,NoBirds,NoBirds Fish,88,7744,Post,1/31/2025,9.16,8.718333333,27.94,14301.7221,14302
Year2,1/31/2025,5C,NoFish,Birds,Birds NoFish,88,7744,Post,1/31/2025,9.250833333,8.57375,35.56,14080.56145,14081
