"","Date","PlotID","CH4Flux","FishTreatment","BirdTreatment","treatment","StudyYear","SamplingOccasion","logFlux","MeanDepth","PO4","GravH2O","NH4","NO3","Redox","SoilTemp","Daphnia","WinterFlood","FishOnFields","ElapsedDays","ElapsedDays2","Pre_Post","MeanTemp","MeanDO"
"11",2023-12-08,"6E",22.657815,"Fish","NoBirds","NoBirds Fish","Year1","12/8/2023",3.120504826,27,NA,NA,NA,NA,NA,NA,570.1030118,"Y","N",1,1,"Pre",9.17430555555556,9.24791666666667
"12",2023-12-08,"7C",41.7336,"Fish","Birds","Birds Fish","Year1","12/8/2023",3.73130656,25.99999999,NA,NA,NA,NA,NA,NA,565.1883306,"Y","N",1,1,"Pre",9.25787037037037,8.63208333333333
"13",2023-12-08,"7E",331.103635,"Fish","NoBirds","NoBirds Fish","Year1","12/8/2023",5.802431423,29.99999999,NA,NA,NA,NA,NA,NA,457.0653456,"Y","N",1,1,"Pre",9.27268518518519,9.33541666666667
"14",2023-12-08,"8C",351.07401,"NoFish","Birds","Birds NoFish","Year1","12/8/2023",5.860997056,22,NA,NA,NA,NA,NA,NA,393.1744908,"Y","N",1,1,"Pre",8.86273148148148,8.20166666666667
"15",2023-12-08,"8E",361.928385,"NoFish","NoBirds","NoBirds NoFish","Year1","12/8/2023",5.891446361,25,NA,NA,NA,NA,NA,NA,540.6149249,"Y","N",1,1,"Pre",8.76481481481481,7.94041666666667
"16",2023-12-19,"1C",2.18181,"Fish","Birds","Birds Fish","Year1","12/19/2023",0.780154808,25.99999999,5.45,0.298,4.11,1.09,NA,NA,1249.733203,"Y","Y",12,144,"Post",13.3731481481481,9.03166666666667
"17",2023-12-19,"1E",5.185005,"Fish","NoBirds","NoBirds Fish","Year1","12/19/2023",1.645770806,23,11.83,0.376,10.53,0,NA,NA,2187.033106,"Y","Y",12,144,"Post",13.2423611111111,8.78625
"18",2023-12-19,"2C",68.22593,"NoFish","Birds","Birds NoFish","Year1","12/19/2023",4.222824698,24,6.82,0.325,2.48,0.41,NA,NA,294.8808681,"Y","Y",12,144,"Post",13.28125,9.36916666666667
"19",2023-12-19,"2E",8.829015,"NoFish","NoBirds","NoBirds NoFish","Year1","12/19/2023",2.178043457,23,9.81,0.372,9.51,0.26,NA,NA,88.46426044,"Y","Y",12,144,"Post",13.3233796296296,9.45791666666667
"20",2023-12-19,"3C",219.97063,"NoFish","Birds","Birds NoFish","Year1","12/19/2023",5.393494037,25,10.54,0.368,5.4,0,NA,NA,344.0276794,"Y","Y",12,144,"Post",13.2953703703704,9.47041666666667
"21",2023-12-19,"3E",21.53927,"NoFish","NoBirds","NoBirds NoFish","Year1","12/19/2023",3.069877781,24,7.89,0.308,2.57,0.15,NA,NA,1412.970827,"Y","Y",12,144,"Post",13.2914351851852,9.25625
"22",2023-12-19,"4C",34.246585,"Fish","Birds","Birds Fish","Year1","12/19/2023",3.533586852,23,2.88,0.403,4.63,0.32,NA,NA,2604.781002,"Y","Y",12,144,"Post",13.1981481481481,9.36583333333333
"23",2023-12-19,"4E",10.617595,"Fish","NoBirds","NoBirds Fish","Year1","12/19/2023",2.362512531,27,12.26,0.364,18.68,0,NA,NA,378.4304474,"Y","Y",12,144,"Post",13.1983796296296,9.71333333333333
"24",2023-12-19,"5C",53.665165,"NoFish","Birds","Birds NoFish","Year1","12/19/2023",3.982764095,25.99999999,8.19,0.319,9.07,0.36,NA,NA,172.0138397,"Y","Y",12,144,"Post",13.3083333333333,8.86291666666667
"25",2023-12-19,"5E",14.299595,"NoFish","NoBirds","NoBirds NoFish","Year1","12/19/2023",2.660231215,25,6.85,0.467,4.37,1.84,NA,NA,845.3251553,"Y","Y",12,144,"Post",13.2546296296296,8.7425
"26",2023-12-19,"6C",11.23594,"Fish","Birds","Birds Fish","Year1","12/19/2023",2.419117569,25.99999999,16.07,0.478,11.19,0,NA,NA,1032.083039,"Y","Y",12,144,"Post",13.3229166666667,9.58833333333333
"27",2023-12-19,"6E",9.11434,"Fish","NoBirds","NoBirds Fish","Year1","12/19/2023",2.209848997,27,11.41,0.447,13.84,0,NA,NA,211.3312888,"Y","Y",12,144,"Post",13.3060185185185,9.43583333333333
"28",2023-12-19,"7C",11.82516,"Fish","Birds","Birds Fish","Year1","12/19/2023",2.470229465,25.99999999,7.94,0.387,4.05,0.02,NA,NA,688.0553589,"Y","Y",12,144,"Post",13.3041666666667,9.0275
"29",2023-12-19,"7E",9.39911,"Fish","NoBirds","NoBirds Fish","Year1","12/19/2023",2.240615004,29.99999999,14.4,0.387,1.7,0.36,NA,NA,201.5019266,"Y","Y",12,144,"Post",13.2439814814815,9.16166666666667
"30",2023-12-19,"8C",1310.693515,"NoFish","Birds","Birds NoFish","Year1","12/19/2023",7.178311677,22,16.42,0.309,0.97,0,NA,NA,1254.881917,"Y","Y",12,144,"Post",13.2449074074074,8.12583333333333
"31",2023-12-19,"8E",38.563395,"NoFish","NoBirds","NoBirds NoFish","Year1","12/19/2023",3.65230351,25,15.92,0.308,2.24,0.48,NA,NA,NA,"Y","Y",12,144,"Post",13.1296296296296,8.16583333333333
"32",2024-01-04,"1C",77.61891,"Fish","Birds","Birds Fish","Year1","1/4/2024",4.351811083,27.178,12.11,0.321,0.12,0.35,NA,NA,640.3978449,"Y","Y",28,784,"Post",10.3585648148148,9.72125
"33",2024-01-04,"1E",7.92544,"Fish","NoBirds","NoBirds Fish","Year1","1/4/2024",2.070077839,25.4,7.47,0.334,4.68,0.26,NA,NA,117.9523473,"Y","Y",28,784,"Post",10.3224537037037,8.63583333333333
"34",2024-01-04,"2C",53.722215,"NoFish","Birds","Birds NoFish","Year1","1/4/2024",3.983826603,27.94,8.78,0.468,0.79,0,NA,NA,73.72021703,"Y","Y",28,784,"Post",10.3252314814815,9.86583333333333
"35",2024-01-04,"2E",6.806495,"NoFish","NoBirds","NoBirds NoFish","Year1","1/4/2024",1.917877303,30.48,2.57,0.424,NA,1.12,NA,NA,595.7189255,"Y","Y",28,784,"Post",10.1368055555556,9.62208333333333
"36",2024-01-04,"3C",233.128185,"NoFish","Birds","Birds NoFish","Year1","1/4/2024",5.451588453,27.94,8.1,0.439,3.49,0,NA,NA,909.21601,"Y","Y",28,784,"Post",10.2423611111111,9.425
"37",2024-01-04,"3E",2281.04824,"NoFish","NoBirds","NoBirds NoFish","Year1","1/4/2024",7.732390371,22.86,10.09,0.388,0.07,0,NA,NA,383.3451,"Y","Y",28,784,"Post",10.2518518518519,8.99291666666667
"38",2024-01-04,"4C",605.891285,"Fish","Birds","Birds Fish","Year1","1/4/2024",6.406700572,30.48,6.94,0.428,0.36,0,NA,NA,52.6573,"Y","Y",28,784,"Post",10.3025462962963,9.4225
"39",2024-01-04,"4E",6.486405,"Fish","NoBirds","NoBirds Fish","Year1","1/4/2024",1.869708448,35.56,8.45,0.359,1.03,0,NA,NA,238.2875702,"Y","Y",28,784,"Post",10.018287037037,10.1841666666667
"40",2024-01-04,"5C",18.91701,"NoFish","Birds","Birds NoFish","Year1","1/4/2024",2.940061517,25.908,11.58,0.36,7,0.33,NA,NA,2142.800975,"Y","Y",28,784,"Post",10.1201388888889,6.4475
"41",2024-01-04,"5E",96.739215,"NoFish","NoBirds","NoBirds NoFish","Year1","1/4/2024",4.572018853,25.4,6.91,0.5,2.88,0,NA,NA,2476.999736,"Y","Y",28,784,"Post",10.2296296296296,8.38833333333333
"42",2024-01-04,"6C",9.06947,"Fish","Birds","Birds Fish","Year1","1/4/2024",2.204913828,24.13,10.52,0.44,0.68,0,NA,NA,165.8704884,"Y","Y",28,784,"Post",10.3724537037037,10.2045833333333
"43",2024-01-04,"6E",268.456985,"Fish","NoBirds","NoBirds Fish","Year1","1/4/2024",5.592690696,25.908,8.55,0.402,3.03,0,NA,NA,103.2083038,"Y","Y",28,784,"Post",10.1199074074074,9.99083333333333
"44",2024-01-04,"7C",14.22191,"Fish","Birds","Birds Fish","Year1","1/4/2024",2.654783733,27.94,8.22,0.45,10.22,0,NA,NA,285.0515,"Y","Y",28,784,"Post",10.2196759259259,9.9675
"45",2024-01-04,"7E",8.38895,"Fish","NoBirds","NoBirds Fish","Year1","1/4/2024",2.126915364,27.94,11.15,0.342,2.53,0,NA,NA,471.80937,"Y","Y",28,784,"Post",10.3474537037037,9.99375
"46",2024-01-04,"8C",103.14125,"NoFish","Birds","Birds NoFish","Year1","1/4/2024",4.636099408,29.21,11.5,0.448,5.71,0,NA,NA,1212.288013,"Y","Y",28,784,"Post",10.0752314814815,8.37291666666667
"47",2024-01-04,"8E",55.69537,"NoFish","NoBirds","NoBirds NoFish","Year1","1/4/2024",4.01989702,27.94,7.79,0.399,27,0,NA,NA,201.5019266,"Y","Y",28,784,"Post",9.63634259259259,8.24916666666667
"48",2024-01-17,"1C",7.004545,"Fish","Birds","Birds Fish","Year1","1/17/2024",1.946559224,27.178,NA,0.437,1.29,0,NA,NA,29.48808681,"Y","Y",41,1681,"Post",12.2155092592593,9.63958333333333
"49",2024-01-17,"1E",285.65723,"Fish","NoBirds","NoBirds Fish","Year1","1/17/2024",5.654792596,25.4,NA,0.375,0.41,0,NA,NA,49.14681135,"Y","Y",41,1681,"Post",12.1898148148148,9.3
"50",2024-01-17,"2C",9.70762,"NoFish","Birds","Birds NoFish","Year1","1/17/2024",2.272911144,27.94,NA,0.373,4.33,0,NA,NA,44.23213022,"Y","Y",41,1681,"Post",12.068287037037,10.5258333333333
"51",2024-01-17,"2E",6.991315,"NoFish","NoBirds","NoBirds NoFish","Year1","1/17/2024",1.944668664,30.48,NA,0.442,2.47,0,NA,NA,157.2697963,"Y","Y",41,1681,"Post",12.1597222222222,10.7195833333333
"52",2024-01-17,"3C",203.055585,"NoFish","Birds","Birds NoFish","Year1","1/17/2024",5.313479759,27.94,NA,0.445,3.72,0,NA,NA,250.6487379,"Y","Y",41,1681,"Post",12.1256944444444,9.89583333333333
"53",2024-01-17,"3E",264.156525,"NoFish","NoBirds","NoBirds NoFish","Year1","1/17/2024",5.576541825,22.86,NA,0.377,3.94,0,NA,NA,63.89085476,"Y","Y",41,1681,"Post",12.1733796296296,9.71833333333333
"54",2024-01-17,"4C",64.453805,"Fish","Birds","Birds Fish","Year1","1/17/2024",4.165948766,30.48,NA,0.433,0.04,0.19,NA,NA,34.40276795,"Y","Y",41,1681,"Post",12.0585648148148,10.2345833333333
"55",2024-01-17,"4E",5.92349,"Fish","NoBirds","NoBirds Fish","Year1","1/17/2024",1.778925802,35.56,NA,0.372,6.19,0,NA,NA,475.0858431,"Y","Y",41,1681,"Post",12.0293981481481,10.6775
"56",2024-01-17,"5C",15.410135,"NoFish","Birds","Birds NoFish","Year1","1/17/2024",2.73502541,25.908,NA,0.408,0.59,0,NA,NA,342.5383822,"Y","Y",41,1681,"Post",12.0717592592593,9.7525
"57",2024-01-17,"5E",11.95203,"NoFish","NoBirds","NoBirds NoFish","Year1","1/17/2024",2.480901138,25.4,NA,0.332,NA,0.33,NA,NA,403.003862,"Y","Y",41,1681,"Post",12.0902777777778,10.21625
"58",2024-01-17,"6C",16.38941,"Fish","Birds","Birds Fish","Year1","1/17/2024",2.796635395,24.13,NA,0.379,8.11,0,NA,NA,314.539562,"Y","Y",41,1681,"Post",12.1506944444444,10.85125
"59",2024-01-17,"6E",7.45264,"Fish","NoBirds","NoBirds Fish","Year1","1/17/2024",2.008568332,25.908,NA,0.398,2.27,0,NA,NA,152.3551152,"Y","Y",41,1681,"Post",12.1643518518519,10.42625
"60",2024-01-17,"7C",35.47993,"Fish","Birds","Birds Fish","Year1","1/17/2024",3.568967184,27.94,NA,0.361,2.27,0,NA,NA,1326.963907,"Y","Y",41,1681,"Post",12.1803240740741,9.76333333333333
"61",2024-01-17,"7E",10.53607,"Fish","NoBirds","NoBirds Fish","Year1","1/17/2024",2.354804608,27.94,NA,0.393,3.91,0,NA,NA,176.9285209,"Y","Y",41,1681,"Post",12.0615740740741,10.1308333333333
"62",2024-01-17,"8C",6691.47686,"NoFish","Birds","Birds NoFish","Year1","1/17/2024",8.808589885,29.21,NA,0.401,8.39,0,NA,NA,1965.8724,"Y","Y",41,1681,"Post",12.2291666666667,8.84958333333333
"63",2024-01-17,"8E",13.348315,"NoFish","NoBirds","NoBirds NoFish","Year1","1/17/2024",2.59139016,27.94,NA,0.345,2.15,0,NA,NA,249.5145807,"Y","Y",41,1681,"Post",12.1789351851852,7.88583333333333
"64",2024-01-29,"1C",25.049325,"Fish","Birds","Birds Fish","Year1","1/29/2024",3.220846881,34.29,NA,0.809,18.05,2.04,NA,NA,NA,"Y","Y",53,2809,"Post",15.9516203703704,8.05208333333333
"65",2024-01-29,"1E",27.04678,"Fish","NoBirds","NoBirds Fish","Year1","1/29/2024",3.297567959,34.29,NA,0.355,3.76,1.41,NA,NA,78.63489817,"Y","Y",53,2809,"Post",16.1159722222222,6.14541666666667
"66",2024-01-29,"2C",19.9377,"NoFish","Birds","Birds NoFish","Year1","1/29/2024",2.992612412,31.115,NA,0.435,2.21,0.35,NA,NA,206.4166,"Y","Y",53,2809,"Post",16.1657407407407,8.77708333333333
"67",2024-01-29,"2E",11.72104,"NoFish","NoBirds","NoBirds NoFish","Year1","1/29/2024",2.461385517,28.956,NA,0.418,3.89,0.56,NA,NA,44.23213022,"Y","Y",53,2809,"Post",15.9023148148148,9.72416666666667
"68",2024-01-29,"3C",29.76852,"NoFish","Birds","Birds NoFish","Year1","1/29/2024",3.393451459,31.496,NA,0.836,NA,0.92,NA,NA,167.0991586,"Y","Y",53,2809,"Post",15.9460648148148,8.16708333333333
"69",2024-01-29,"3E",394.104045,"NoFish","NoBirds","NoBirds NoFish","Year1","1/29/2024",5.976614948,29.21,NA,0.872,NA,1.45,NA,NA,103.2083,"Y","Y",53,2809,"Post",16.0837962962963,7.61708333333333
"70",2024-01-29,"4C",238.66947,"Fish","Birds","Birds Fish","Year1","1/29/2024",5.475079624,33.02,NA,0.395,4.09,1.04,NA,NA,157.2697964,"Y","Y",53,2809,"Post",16.068287037037,8.85708333333333
"71",2024-01-29,"4E",2446.62949,"Fish","NoBirds","NoBirds Fish","Year1","1/29/2024",7.802466638,32.512,NA,0.387,8.3,0.45,NA,NA,193.6086554,"Y","Y",53,2809,"Post",15.8118055555556,9.28666666666667
"72",2024-01-29,"5E",31.835045,"NoFish","NoBirds","NoBirds NoFish","Year1","1/29/2024",3.460567727,39.37,NA,0.888,NA,0,NA,NA,108.122985,"Y","Y",53,2809,"Post",16.0456018518519,9.39291666666667
"73",2024-01-29,"6E",22.226365,"Fish","NoBirds","NoBirds Fish","Year1","1/29/2024",3.101279197,30.48,NA,0.399,14.23,0.02,NA,NA,9.829362,"Y","Y",53,2809,"Post",15.9581018518519,9.19291666666667
"74",2024-01-29,"7C",145.807745,"Fish","Birds","Birds Fish","Year1","1/29/2024",4.982288939,29.972,NA,0.469,34.5,0,NA,NA,245.7340568,"Y","Y",53,2809,"Post",15.8402777777778,8.045
"75",2024-01-29,"7E",31.10945,"Fish","NoBirds","NoBirds Fish","Year1","1/29/2024",3.437511632,36.3982,NA,0.427,12.3,0.1,NA,NA,108.122985,"Y","Y",53,2809,"Post",16.0673611111111,8.7375
"76",2024-01-29,"8C",409.91241,"NoFish","Birds","Birds NoFish","Year1","1/29/2024",6.015943503,35.56,NA,0.368,7.3,0,NA,NA,7676.73145,"Y","Y",53,2809,"Post",15.8,6.46166666666667
"77",2024-01-29,"8E",71.314585,"NoFish","NoBirds","NoBirds NoFish","Year1","1/29/2024",4.267100865,33.02,NA,0.37,8.35,0,NA,NA,427.5772588,"Y","Y",53,2809,"Post",15.4092592592593,2
"78",2024-02-06,"1C",9.955595,"Fish","Birds","Birds Fish","Year1","2/6/2024",2.298134705,25.654,9.91,0.321,2.69,0.15,NA,NA,NA,"Y","Y",61,3721,"Post",13.3009259259259,6.85541666666667
"79",2024-02-06,"1E",14.49929,"Fish","NoBirds","NoBirds Fish","Year1","2/6/2024",2.674099683,25.4,9.43,0.35,2.81,0.01,NA,NA,NA,"Y","Y",61,3721,"Post",13.6168981481481,7.34
"80",2024-02-06,"2C",8.304,"NoFish","Birds","Birds NoFish","Year1","2/6/2024",2.116737326,29.464,8.85,0.372,7.61,0.32,NA,NA,NA,"Y","Y",61,3721,"Post",13.4145833333333,7.86208333333333
"81",2024-02-06,"2E",2153.75826,"NoFish","NoBirds","NoBirds NoFish","Year1","2/6/2024",7.674969623,29.718,9.48,0.369,2.26,0.21,NA,NA,NA,"Y","Y",61,3721,"Post",13.3810185185185,7.3075
"82",2024-02-06,"3C",17.265245,"NoFish","Birds","Birds NoFish","Year1","2/6/2024",2.848695521,29.972,8.75,0.438,7.51,0.13,NA,NA,NA,"Y","Y",61,3721,"Post",13.274537037037,7.35125
"83",2024-02-06,"3E",813.10744,"NoFish","NoBirds","NoBirds NoFish","Year1","2/6/2024",6.700863253,27.94,8.35,0.357,3.06,1.05,NA,NA,NA,"Y","Y",61,3721,"Post",13.5027777777778,8.17583333333333
"84",2024-02-06,"4E",9.568875,"Fish","NoBirds","NoBirds Fish","Year1","2/6/2024",2.258515644,34.544,11.58,0.422,6.05,0.21,NA,NA,NA,"Y","Y",61,3721,"Post",13.3335648148148,7.41625
"85",2024-02-06,"5C",13.869935,"NoFish","Birds","Birds NoFish","Year1","2/6/2024",2.629723548,29.21,13.02,0.503,16.24,0.12,NA,NA,NA,"Y","Y",61,3721,"Post",13.2671296296296,6.44958333333333
"86",2024-02-06,"5E",1316.54485,"NoFish","NoBirds","NoBirds NoFish","Year1","2/6/2024",7.182766046,27.686,11.53,0.443,6.91,0,NA,NA,NA,"Y","Y",61,3721,"Post",13.5037037037037,7.88875
"87",2024-02-06,"6C",28.109105,"Fish","Birds","Birds Fish","Year1","2/6/2024",3.336093545,28.194,11.43,0.346,7.06,0,NA,NA,NA,"Y","Y",61,3721,"Post",13.5506944444444,8.78416666666667
"88",2024-02-06,"6E",7.57821,"Fish","NoBirds","NoBirds Fish","Year1","2/6/2024",2.025277024,33.528,3.53,0.314,14.5,0.03,NA,NA,NA,"Y","Y",61,3721,"Post",13.5650462962963,8.22416666666667
"89",2024-02-06,"7C",11.505125,"Fish","Birds","Birds Fish","Year1","2/6/2024",2.442792588,31.75,11.73,0.476,32.52,0,NA,NA,NA,"Y","Y",61,3721,"Post",13.4099537037037,6.39916666666667
"90",2024-02-06,"7E",8.58221,"Fish","NoBirds","NoBirds Fish","Year1","2/6/2024",2.149691456,29.464,13.52,0.408,4.95,0,NA,NA,NA,"Y","Y",61,3721,"Post",13.4627314814815,9.11708333333333
"91",2024-02-06,"8C",724.35348,"NoFish","Birds","Birds NoFish","Year1","2/6/2024",6.585279505,29.21,16.93,0.498,33.13,0.15,NA,NA,NA,"Y","Y",61,3721,"Post",13.6731481481481,8.11958333333333
"92",2024-02-06,"8E",30.834175,"NoFish","NoBirds","NoBirds NoFish","Year1","2/6/2024",3.428623653,30.734,8.65,0.373,0.57,0.92,NA,NA,NA,"Y","Y",61,3721,"Post",13.4534722222222,6.18166666666667
"93",2024-02-12,"1C",64.27821,"Fish","Birds","Birds Fish","Year1","2/12/2024",4.163220694,33.655,NA,0.406,8.33,1.69,NA,NA,1398.793862,"Y","Y",67,4489,"Post",11.7837962962963,10.22875
"94",2024-02-12,"1E",56.02628,"Fish","NoBirds","NoBirds Fish","Year1","2/12/2024",4.025820866,29.845,NA,0.333,8.44,0.19,NA,NA,947.8313618,"Y","Y",67,4489,"Post",11.8888888888889,9.02666666666667
"95",2024-02-12,"2C",8.53289,"NoFish","Birds","Birds NoFish","Year1","2/12/2024",2.143928108,29.845,NA,NA,NA,NA,NA,NA,1621.845,"Y","Y",67,4489,"Post",12.1194444444444,9.84791666666667
"96",2024-02-12,"2E",7.23634,"NoFish","NoBirds","NoBirds NoFish","Year1","2/12/2024",1.979115554,33.02,NA,0.347,9.2,0,NA,NA,191.6725643,"Y","Y",67,4489,"Post",11.7231481481481,10.3025
"97",2024-02-12,"3C",10.4563,"NoFish","Birds","Birds NoFish","Year1","2/12/2024",2.347204668,31.75,NA,0.407,11.56,0,NA,NA,253.925192,"Y","Y",67,4489,"Post",11.6736111111111,10.1666666666667
"98",2024-02-12,"3E",25.009085,"NoFish","NoBirds","NoBirds NoFish","Year1","2/12/2024",3.219239159,24.13,NA,0.375,5.47,0,NA,NA,453.6628741,"Y","Y",67,4489,"Post",12.0650462962963,8.90208333333333
"99",2024-02-12,"4C",11.52663,"Fish","Birds","Birds Fish","Year1","2/12/2024",2.444660011,27.94,NA,0.452,8.36,0,NA,NA,2948.808681,"Y","Y",67,4489,"Post",12.1761574074074,9.67833333333333
"100",2024-02-12,"4E",8.15411,"Fish","NoBirds","NoBirds Fish","Year1","2/12/2024",2.098522095,37.338,NA,0.393,13.97,0,NA,NA,1302.390501,"Y","Y",67,4489,"Post",11.4925925925926,10.73375
"101",2024-02-12,"5C",7.405205,"NoFish","Birds","Birds NoFish","Year1","2/12/2024",2.002183131,26.035,NA,0.354,9.93,0,NA,NA,78.6349,"Y","Y",67,4489,"Post",11.5256944444444,10.4979166666667
"102",2024-02-12,"5E",54.481635,"NoFish","NoBirds","NoBirds NoFish","Year1","2/12/2024",3.997863672,30.48,NA,0.436,6.91,0.31,NA,NA,1515.360017,"Y","Y",67,4489,"Post",11.9960648148148,10.1433333333333
"103",2024-02-12,"6C",19.259955,"Fish","Birds","Birds Fish","Year1","2/12/2024",2.95802807,32.004,NA,0.369,12.28,0,NA,NA,319.4542738,"Y","Y",67,4489,"Post",12.1983796296296,10.1525
"104",2024-02-12,"6E",12.55579,"Fish","NoBirds","NoBirds Fish","Year1","2/12/2024",2.530181914,33.02,NA,0.356,12.53,0,NA,NA,126.9462137,"Y","Y",67,4489,"Post",11.8094907407407,10.3508333333333
"105",2024-02-12,"7C",13.097315,"Fish","Birds","Birds Fish","Year1","2/12/2024",2.572407247,29.21,NA,0.353,11.64,0,NA,NA,2064.166077,"Y","Y",67,4489,"Post",11.7925925925926,8.35333333333333
"106",2024-02-12,"7E",15.30103,"Fish","NoBirds","NoBirds Fish","Year1","2/12/2024",2.727920146,29.21,NA,0.4,10.17,0,NA,NA,131.0581636,"Y","Y",67,4489,"Post",11.89375,10.4616666666667
"107",2024-02-12,"8C",118.74209,"NoFish","Birds","Birds NoFish","Year1","2/12/2024",4.77695383,25.4,NA,0.362,22.98,0,NA,NA,655.2908181,"Y","Y",67,4489,"Post",12.1111111111111,9.16291666666667
"108",2024-02-12,"8E",61.46763,"NoFish","NoBirds","NoBirds NoFish","Year1","2/12/2024",4.118510695,30.48,NA,0.34,20.23,0,NA,NA,1511.264449,"Y","Y",67,4489,"Post",11.4643518518519,7.65375
"109",2024-02-20,"1C",5.223675,"Fish","Birds","Birds Fish","Year1","2/20/2024",1.653201177,29.845,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",12.1037037037037,9.40333333333333
"110",2024-02-20,"1E",5.763275,"Fish","NoBirds","NoBirds Fish","Year1","2/20/2024",1.75150589,33.655,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",11.9685185185185,9.30416666666667
"111",2024-02-20,"2C",5.45458,"NoFish","Birds","Birds NoFish","Year1","2/20/2024",1.696455623,31.75,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",12.1407407407407,9.5625
"112",2024-02-20,"2E",19.28552,"NoFish","NoBirds","NoBirds NoFish","Year1","2/20/2024",2.959354555,30.48,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",12.0263888888889,9.59083333333333
"113",2024-02-20,"3C",142.492635,"NoFish","Birds","Birds NoFish","Year1","2/20/2024",4.959290314,26.924,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",11.9585858585859,9.37363636363636
"114",2024-02-20,"3E",11.60134,"NoFish","NoBirds","NoBirds NoFish","Year1","2/20/2024",2.451120609,22.86,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",11.9373737373737,9.36454545454546
"115",2024-02-20,"4C",5.718225,"Fish","Birds","Birds Fish","Year1","2/20/2024",1.743658443,27.94,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",12.5329365079365,9.57857142857143
"116",2024-02-20,"5E",202.165405,"NoFish","NoBirds","NoBirds NoFish","Year1","2/20/2024",5.309086199,27.94,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",12.5592592592593,9.484
"117",2024-02-20,"6C",21.88277,"Fish","Birds","Birds Fish","Year1","2/20/2024",3.085699569,25.4,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",12.7762962962963,9.856
"118",2024-02-20,"7C",6.190205,"Fish","Birds","Birds Fish","Year1","2/20/2024",1.822968204,35.56,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",12.672962962963,9.35866666666667
"119",2024-02-20,"7E",541.514935,"Fish","NoBirds","NoBirds Fish","Year1","2/20/2024",6.294370647,26.035,NA,NA,NA,NA,NA,NA,NA,"Y","Y",75,5625,"Post",12.8618518518519,9.918
