"","X","PlotID","Date","C13PW","C13Gas","FishOnField","FishTreatment","BirdTreatment","treatment","StudyYear"
"88",88,"2C","2024-07-26",-63.24,-60.26,"N","NoFish","Birds","Birds NoFish","Year1"
"89",89,"3E","2024-07-26",-62.55,-58.23,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"90",90,"3C","2024-07-26",-61.01,-63.18,"N","NoFish","Birds","Birds NoFish","Year1"
"91",91,"4E","2024-07-26",-58.66,-58.92,"N","Fish","NoBirds","NoBirds Fish","Year1"
"92",92,"4C","2024-07-26",-60.89,-55.62,"N","Fish","Birds","Birds Fish","Year1"
"93",93,"5E","2024-07-26",-54.98,-56.77,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"94",94,"5C","2024-07-26",-62.69,-57.93,"N","NoFish","Birds","Birds NoFish","Year1"
"95",95,"6E","2024-07-26",-61.34,-56.55,"N","Fish","NoBirds","NoBirds Fish","Year1"
"96",96,"6C","2024-07-26",-60.13,-60.28,"N","Fish","Birds","Birds Fish","Year1"
"97",97,"7E","2024-07-26",-54.68,-60.91,"N","Fish","NoBirds","NoBirds Fish","Year1"
"98",98,"7C","2024-07-26",-63.51,-58.54,"N","Fish","Birds","Birds Fish","Year1"
"99",99,"8E","2024-07-26",-59.37,-58.01,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"100",100,"8C","2024-07-26",-61.55,-60.27,"N","NoFish","Birds","Birds NoFish","Year1"
"101",101,"1E","2024-08-09",-58.01,-60.89,"N","Fish","NoBirds","NoBirds Fish","Year1"
"102",102,"1C","2024-08-09",-60.27,-63.92,"N","Fish","Birds","Birds Fish","Year1"
"103",103,"2E","2024-08-09",-65.19,-61.75,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"104",104,"2C","2024-08-09",-62.13,-63.3,"N","NoFish","Birds","Birds NoFish","Year1"
"105",105,"3E","2024-08-09",-59.25,-61.35,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"106",106,"3C","2024-08-09",-59.45,-60.21,"N","NoFish","Birds","Birds NoFish","Year1"
"107",107,"4E","2024-08-09",-58.01,-58.95,"N","Fish","NoBirds","NoBirds Fish","Year1"
"108",108,"4C","2024-08-09",-60.27,-57.07,"N","Fish","Birds","Birds Fish","Year1"
"109",109,"5E","2024-08-09",-56.92,-58.59,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"110",110,"5C","2024-08-09",-59.51,-55.17,"N","NoFish","Birds","Birds NoFish","Year1"
"111",111,"6E","2024-08-09",-58.01,-64.13,"N","Fish","NoBirds","NoBirds Fish","Year1"
"112",112,"6C","2024-08-09",-60.27,-59.74,"N","Fish","Birds","Birds Fish","Year1"
"113",113,"7E","2024-08-09",-58.01,-58.54,"N","Fish","NoBirds","NoBirds Fish","Year1"
"114",114,"7C","2024-08-09",-60.27,-60.92,"N","Fish","Birds","Birds Fish","Year1"
"115",115,"8E","2024-08-09",-60.08,-59.5,"N","NoFish","NoBirds","NoBirds NoFish","Year1"
"116",116,"8C","2024-08-09",-58.59,-60.99,"N","NoFish","Birds","Birds NoFish","Year1"
"117",1,"1E","2024-12-10",-53.92,-54.09,"N","Fish","NoBirds","NoBirds Fish","Year2"
"118",2,"1C","2024-12-10",-61.11,-50.66,"N","Fish","Birds","Birds Fish","Year2"
"119",3,"2E","2024-12-10",-50.52,-48.33,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"120",4,"2C","2024-12-10",-57.2,-55.84,"N","NoFish","Birds","Birds NoFish","Year2"
"121",5,"3E","2024-12-10",-52.58,-54.62,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"122",6,"3C","2024-12-10",-49.46,-48.26,"N","NoFish","Birds","Birds NoFish","Year2"
"123",7,"4E","2024-12-10",-53.6,-67.54,"N","Fish","NoBirds","NoBirds Fish","Year2"
"124",8,"4C","2024-12-10",-55.91,-57.24,"N","Fish","Birds","Birds Fish","Year2"
"125",9,"5E","2024-12-10",-51.72,-45.28,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"126",10,"5C","2024-12-10",-53.77,-53.9,"N","NoFish","Birds","Birds NoFish","Year2"
"127",11,"6E","2024-12-10",-49.92,-55.23,"N","Fish","NoBirds","NoBirds Fish","Year2"
"128",12,"6C","2024-12-10",-52.88,-49.55,"N","Fish","Birds","Birds Fish","Year2"
"129",13,"7E","2024-12-10",-53.71,-56.34,"N","Fish","NoBirds","NoBirds Fish","Year2"
"130",14,"7C","2024-12-10",-59.1,-44.92,"N","Fish","Birds","Birds Fish","Year2"
"131",15,"8E","2024-12-10",-59.78,-51.22,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"132",16,"8C","2024-12-10",-55.3,-53.11,"N","NoFish","Birds","Birds NoFish","Year2"
"133",17,"1E","2024-12-22",-58.51,-46.94,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"134",18,"1C","2024-12-22",-61.03,-44.81,"Y","Fish","Birds","Birds Fish","Year2"
"135",19,"2E","2024-12-22",-58.4,-45.54,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"136",20,"2C","2024-12-22",-58.63,-54.42,"Y","NoFish","Birds","Birds NoFish","Year2"
"137",21,"3E","2024-12-22",-53.89,-54.12,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"138",22,"3C","2024-12-22",-48.73,-51.93,"Y","NoFish","Birds","Birds NoFish","Year2"
"139",23,"4E","2024-12-22",-57.35,-56.65,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"140",24,"4C","2024-12-22",-59.86,-55.14,"Y","Fish","Birds","Birds Fish","Year2"
"141",25,"5E","2024-12-22",-48.19,-49.17,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"142",26,"5C","2024-12-22",-55.09,-53.38,"Y","NoFish","Birds","Birds NoFish","Year2"
"143",27,"6E","2024-12-22",-52.9,-51.44,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"144",28,"6C","2024-12-22",-54.51,-51.17,"Y","Fish","Birds","Birds Fish","Year2"
"145",29,"7E","2024-12-22",-55.4,-47.41,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"146",30,"7C","2024-12-22",-60.17,-55.5,"Y","Fish","Birds","Birds Fish","Year2"
"147",31,"8E","2024-12-22",-58.67,-54.89,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"148",32,"8C","2024-12-22",-57.19,-53.02,"Y","NoFish","Birds","Birds NoFish","Year2"
"149",33,"1E","2025-01-09",-54.83,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"150",34,"1C","2025-01-09",-61.44,NA,"Y","Fish","Birds","Birds Fish","Year2"
"151",35,"2E","2025-01-09",-56.27,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"152",36,"2C","2025-01-09",-59.35,-48.06,"Y","NoFish","Birds","Birds NoFish","Year2"
"153",37,"3E","2025-01-09",-56.98,-53.11,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"154",38,"3C","2025-01-09",-49.24,-48.2,"Y","NoFish","Birds","Birds NoFish","Year2"
"155",39,"4C","2025-01-09",-58.61,NA,"Y","Fish","Birds","Birds Fish","Year2"
"156",40,"5E","2025-01-09",-44.64,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"157",41,"5C","2025-01-09",-57.74,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"158",42,"6E","2025-01-09",-57.13,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"159",43,"6C","2025-01-09",-55.66,NA,"Y","Fish","Birds","Birds Fish","Year2"
"160",44,"7E","2025-01-09",-52.88,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"161",45,"7C","2025-01-09",-60.04,NA,"Y","Fish","Birds","Birds Fish","Year2"
"162",46,"8E","2025-01-09",-58.85,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"163",47,"8C","2025-01-09",-57.6,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"164",48,"1E","2025-01-22",-54.11,-47.21,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"165",49,"1C","2025-01-22",-29.79,-41.82,"Y","Fish","Birds","Birds Fish","Year2"
"166",50,"2E","2025-01-22",-58.43,-44.68,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"167",51,"2C","2025-01-22",-58.46,-44.07,"Y","NoFish","Birds","Birds NoFish","Year2"
"168",52,"3E","2025-01-22",-56.62,-51.25,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"169",53,"3C","2025-01-22",-49.51,-43.44,"Y","NoFish","Birds","Birds NoFish","Year2"
"170",54,"4E","2025-01-22",-56.96,-49.17,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"171",55,"4C","2025-01-22",-58.14,-43.76,"Y","Fish","Birds","Birds Fish","Year2"
"172",56,"5E","2025-01-22",-43.3,-45.22,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"173",57,"5C","2025-01-22",-57.86,-56.34,"Y","NoFish","Birds","Birds NoFish","Year2"
"174",58,"6E","2025-01-22",-56.75,-44.6,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"175",59,"6C","2025-01-22",-55.56,-43.79,"Y","Fish","Birds","Birds Fish","Year2"
"176",60,"7E","2025-01-22",-51.93,-42.86,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"177",61,"7C","2025-01-22",-59.88,-48.49,"Y","Fish","Birds","Birds Fish","Year2"
"178",62,"8E","2025-01-22",-56.06,-56.69,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"179",63,"8C","2025-01-22",-58.52,-45.75,"Y","NoFish","Birds","Birds NoFish","Year2"
"180",64,"1E","2025-02-04",-47.21,-59.47,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"181",65,"1C","2025-02-04",-41.82,-53.61,"Y","Fish","Birds","Birds Fish","Year2"
"182",66,"2E","2025-02-04",-44.68,-44.23,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"183",67,"2C","2025-02-04",-44.07,-44.53,"Y","NoFish","Birds","Birds NoFish","Year2"
"184",68,"3E","2025-02-04",-51.25,-52.52,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"185",69,"3C","2025-02-04",-43.44,-52.49,"Y","NoFish","Birds","Birds NoFish","Year2"
"186",70,"4E","2025-02-04",-49.17,-48.81,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"187",71,"4C","2025-02-04",-43.76,NA,"Y","Fish","Birds","Birds Fish","Year2"
"188",72,"5E","2025-02-04",-45.22,-44.84,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"189",73,"5C","2025-02-04",-56.34,-58.53,"Y","NoFish","Birds","Birds NoFish","Year2"
"190",74,"6E","2025-02-04",-44.6,-56.5,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"191",75,"6C","2025-02-04",-43.79,-43.94,"Y","Fish","Birds","Birds Fish","Year2"
"192",76,"7E","2025-02-04",-42.86,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"193",77,"7C","2025-02-04",-48.49,-41.33,"Y","Fish","Birds","Birds Fish","Year2"
"194",78,"8E","2025-02-04",-56.69,-48.15,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"195",79,"8C","2025-02-04",-45.75,-47.13,"Y","NoFish","Birds","Birds NoFish","Year2"
"196",80,"1E","2025-02-18",-57.94,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"197",81,"1C","2025-02-18",-61.6,NA,"Y","Fish","Birds","Birds Fish","Year2"
"198",82,"2E","2025-02-18",-60.02,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"199",83,"2C","2025-02-18",-58.96,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"200",84,"3E","2025-02-18",-58.81,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"201",85,"3C","2025-02-18",-51.1,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"202",86,"4E","2025-02-18",-58.31,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"203",87,"4C","2025-02-18",-59.07,NA,"Y","Fish","Birds","Birds Fish","Year2"
"204",88,"5E","2025-02-18",-47.95,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"205",89,"5C","2025-02-18",-59.01,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"206",90,"6E","2025-02-18",-57.72,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"207",91,"6C","2025-02-18",-55.48,NA,"Y","Fish","Birds","Birds Fish","Year2"
"208",92,"7E","2025-02-18",-51.09,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"209",93,"7C","2025-02-18",-58.89,NA,"Y","Fish","Birds","Birds Fish","Year2"
"210",94,"8E","2025-02-18",-57.3,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"211",95,"8C","2025-02-18",-58.71,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"212",96,"1E","2025-06-04",-44.6,-62.96,"N","Fish","NoBirds","NoBirds Fish","Year2"
"213",97,"1C","2025-06-04",-50.36,-59.35,"N","Fish","Birds","Birds Fish","Year2"
"214",98,"2E","2025-06-04",-50.29,-59.35,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"215",99,"2C","2025-06-04",-52.54,-61.19,"N","NoFish","Birds","Birds NoFish","Year2"
"216",100,"3C","2025-06-04",-52.1,-60.13,"N","NoFish","Birds","Birds NoFish","Year2"
"217",101,"4E","2025-06-04",-51.2,-51,"N","Fish","NoBirds","NoBirds Fish","Year2"
"218",102,"4C","2025-06-04",-55.67,-57.67,"N","Fish","Birds","Birds Fish","Year2"
"219",103,"5E","2025-06-04",-54.15,-60.01,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"220",104,"5C","2025-06-04",-54.28,-59.56,"N","NoFish","Birds","Birds NoFish","Year2"
"221",105,"6E","2025-06-04",-50.44,-50.67,"N","Fish","NoBirds","NoBirds Fish","Year2"
"222",106,"6C","2025-06-04",-55.73,-58.7,"N","Fish","Birds","Birds Fish","Year2"
"223",107,"7E","2025-06-04",-56.07,-56.19,"N","Fish","NoBirds","NoBirds Fish","Year2"
"224",108,"7C","2025-06-04",-48,-58.55,"N","Fish","Birds","Birds Fish","Year2"
"225",109,"8E","2025-06-04",-51.4,-56.9,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"226",110,"8C","2025-06-04",-57.12,-55.46,"N","NoFish","Birds","Birds NoFish","Year2"
"227",111,"1E","2025-06-18",-62.84,-48.27,"N","Fish","NoBirds","NoBirds Fish","Year2"
"228",112,"1C","2025-06-18",-59.43,-45.15,"N","Fish","Birds","Birds Fish","Year2"
"229",113,"2E","2025-06-18",-58.14,-44.83,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"230",114,"2C","2025-06-18",-58.38,-44.74,"N","NoFish","Birds","Birds NoFish","Year2"
"231",115,"3C","2025-06-18",-59.18,-46.26,"N","NoFish","Birds","Birds NoFish","Year2"
"232",116,"4E","2025-06-18",-56.98,-45.07,"N","Fish","NoBirds","NoBirds Fish","Year2"
"233",117,"4C","2025-06-18",-48.94,-45.82,"N","Fish","Birds","Birds Fish","Year2"
"234",118,"5E","2025-06-18",-66.19,-49.06,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"235",119,"5C","2025-06-18",-63.35,-47.09,"N","NoFish","Birds","Birds NoFish","Year2"
"236",120,"6E","2025-06-18",-59.62,-49.12,"N","Fish","NoBirds","NoBirds Fish","Year2"
"237",121,"6C","2025-06-18",-57.08,-54.53,"N","Fish","Birds","Birds Fish","Year2"
"238",122,"7E","2025-06-18",-57.47,-57.75,"N","Fish","NoBirds","NoBirds Fish","Year2"
"239",123,"7C","2025-06-18",-57.7,-53.52,"N","Fish","Birds","Birds Fish","Year2"
"240",124,"8E","2025-06-18",-62.56,-52.07,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"241",125,"1E","2025-07-02",-59.15,-55.34,"N","Fish","NoBirds","NoBirds Fish","Year2"
"242",126,"1C","2025-07-02",-64,-47.99,"N","Fish","Birds","Birds Fish","Year2"
"243",127,"2E","2025-07-02",-63.27,-47.81,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"244",128,"2C","2025-07-02",-59.03,-47.48,"N","NoFish","Birds","Birds NoFish","Year2"
"245",129,"3E","2025-07-02",-56.83,-52.11,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"246",130,"3C","2025-07-02",-60.67,-48.93,"N","NoFish","Birds","Birds NoFish","Year2"
"247",131,"4E","2025-07-02",-61.78,-52.44,"N","Fish","NoBirds","NoBirds Fish","Year2"
"248",132,"4C","2025-07-02",-55.23,-57.69,"N","Fish","Birds","Birds Fish","Year2"
"249",133,"5E","2025-07-02",-59.81,-54.86,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"250",134,"5C","2025-07-02",-61.17,-54.57,"N","NoFish","Birds","Birds NoFish","Year2"
"251",135,"6E","2025-07-02",-59.55,-55.02,"N","Fish","NoBirds","NoBirds Fish","Year2"
"252",136,"6C","2025-07-02",-57.04,-54.8,"N","Fish","Birds","Birds Fish","Year2"
"253",137,"7E","2025-07-02",-58.17,-45.26,"N","Fish","NoBirds","NoBirds Fish","Year2"
"254",138,"7C","2025-07-02",-56.39,-57.83,"N","Fish","Birds","Birds Fish","Year2"
"255",139,"8E","2025-07-02",-58.05,-52.83,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"256",140,"8C","2025-07-02",-54.12,-57.33,"N","NoFish","Birds","Birds NoFish","Year2"
"257",141,"1E","2025-07-15",-59.91,-45.18,"N","Fish","NoBirds","NoBirds Fish","Year2"
"258",142,"1C","2025-07-15",-61.35,-49.34,"N","Fish","Birds","Birds Fish","Year2"
"259",143,"2E","2025-07-15",-60.69,-48.94,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"260",144,"2C","2025-07-15",-59.52,-50.2,"N","NoFish","Birds","Birds NoFish","Year2"
"261",145,"3E","2025-07-15",-62.01,-53.82,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"262",146,"3C","2025-07-15",-65.58,-51.16,"N","NoFish","Birds","Birds NoFish","Year2"
"263",147,"4E","2025-07-15",-64.66,-61.41,"N","Fish","NoBirds","NoBirds Fish","Year2"
"264",148,"4C","2025-07-15",-57.89,-57.11,"N","Fish","Birds","Birds Fish","Year2"
"265",149,"5E","2025-07-15",-61.59,-53.35,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"266",150,"5C","2025-07-15",-61.32,-58.22,"N","NoFish","Birds","Birds NoFish","Year2"
