"","X","SampleDate","PlotID","FishTreatment","BirdTreatment","treatment","ElapsedDays","ElapsedDays2","Pre_Post","SamplingOccasion","MeanTemp","MeanDO","MeanDepth","total","DensityRounded","ElapsedDaysScaled","ElapsedDaysScaled2","MeanTempScaled","MeanDOScaled","MeanDepthScaled"
"11",11,2023-11-20,"8E","NoFish","NoBirds","NoBirds NoFish",1,1,"Pre","11/20/2023",10.33217593,8.6175,25,545.529606,546,-1.85093174442706,3.42594832252779,-0.027046588545928,-0.400837175618021,-1.35403463979339
"12",12,2023-12-15,"1C","Fish","Birds","Birds Fish",26,676,"Pre","12/15/2023",8.933564815,7.81125,30.734,1277.817096,1278,-0.807434769994364,0.651950907795852,-0.728936202027869,-1.07994792698815,0.193485954942001
"13",13,2023-12-15,"1E","Fish","NoBirds","NoBirds Fish",26,676,"Pre","12/15/2023",9.049768519,5.98125,30.48,2187.033106,2187,-0.807434769994364,0.651950907795852,-0.670619653552755,-2.62137139986545,0.124935164732236
"14",14,2023-12-15,"2C","NoFish","Birds","Birds NoFish",26,676,"Pre","12/15/2023",9.192592593,7.495416667,30.48,322.9647603,323,-0.807434769994364,0.651950907795852,-0.598943736622997,-1.34597684119759,0.124935164732236
"15",15,2023-12-15,"2E","NoFish","NoBirds","NoBirds NoFish",26,676,"Pre","12/15/2023",8.878240741,8.174583333,34.29,103.2083038,103,-0.807434769994364,0.651950907795852,-0.756700455078372,-0.773909387116591,1.1531970178787
"16",16,2023-12-15,"3C","NoFish","Birds","Birds NoFish",26,676,"Pre","12/15/2023",8.843287037,8.418333333,31.75,373.5157662,374,-0.807434769994364,0.651950907795852,-0.774241887094178,-0.568596834376785,0.467689115781058
"17",17,2023-12-15,"3E","NoFish","NoBirds","NoBirds NoFish",26,676,"Pre","12/15/2023",8.985416667,7.428333333,23.368,1437.544232,1438,-0.807434769994364,0.651950907795852,-0.702914475210259,-1.40248166396615,-1.79448696114117
"18",18,2023-12-15,"4C","Fish","Birds","Birds Fish",26,676,"Pre","12/15/2023",8.978009259,7.595416667,35.56,2604.781002,2605,-0.807434769994364,0.651950907795852,-0.706631865042402,-1.26174605032997,1.49595096892752
"19",19,2023-12-15,"4E","Fish","NoBirds","NoBirds Fish",26,676,"Pre","12/15/2023",8.870601852,8.604166667,32.512,393.1744908,393,-0.807434769994364,0.651950907795852,-0.760534013091846,-0.412067947452934,0.673341486410351
"20",20,2023-12-15,"5C","NoFish","Birds","Birds NoFish",26,676,"Pre","12/15/2023",8.876157407,6.42875,29.21,172.0138397,172,-0.807434769994364,0.651950907795852,-0.757745971219586,-2.24443861073289,-0.217818786316586
"21",21,2023-12-15,"5E","NoFish","NoBirds","NoBirds NoFish",26,676,"Pre","12/15/2023",9.092824074,5.343333333,29.21,845.3251553,845,-0.807434769994364,0.651950907795852,-0.649012327160816,-3.15869365355587,-0.217818786316586
"22",22,2023-12-15,"6C","Fish","Birds","Birds Fish",26,676,"Pre","12/15/2023",9.18912037,7.6675,27.94,1051.741763,1052,-0.807434769994364,0.651950907795852,-0.600686263357739,-1.20102968886034,-0.560572737365408
"23",23,2023-12-15,"6E","Fish","NoBirds","NoBirds Fish",26,676,"Pre","12/15/2023",9.023842593,7.729583333,29.21,226.0753322,226,-0.807434769994364,0.651950907795852,-0.683630516961561,-1.14873640647747,-0.217818786316586
"24",24,2023-12-15,"7C","Fish","Birds","Birds Fish",26,676,"Pre","12/15/2023",8.95625,7.5075,33.02,688.0553589,688,-0.807434769994364,0.651950907795852,-0.717551696670626,-1.33579895424852,0.810443066829881
"25",25,2023-12-15,"7E","Fish","NoBirds","NoBirds Fish",26,676,"Pre","12/15/2023",9.11712963,7.89,32.512,211.3312889,211,-0.807434769994364,0.651950907795852,-0.636814642526867,-1.0136161791799,0.673341486410351
"26",26,2023-12-15,"8C","NoFish","Birds","Birds NoFish",26,676,"Pre","12/15/2023",8.715509259,8.402083333,34.29,1270.172036,1270,-0.807434769994364,0.651950907795852,-0.838366856680167,-0.582284337892772,1.1531970178787
"27",27,2023-12-27,"1C","Fish","Birds","Birds Fish",38,1444,"Post","12/27/2023",10.3025463,7.968333333,30.734,908.4713614,908,-0.306556222266671,0.0939767174104127,-0.0419161468708046,-0.947635393281041,0.193485954942001
"28",28,2023-12-27,"1E","Fish","NoBirds","NoBirds Fish",38,1444,"Post","12/27/2023",10.28148148,7.827916667,30.48,132.6963907,133,-0.306556222266671,0.0939767174104127,-0.0524874759624272,-1.06590946156277,0.124935164732236
"29",29,2023-12-27,"2C","NoFish","Birds","Birds NoFish",38,1444,"Post","12/27/2023",10.27222222,9.557916667,30.48,98.29362271,98,-0.306556222266671,0.0939767174104127,-0.057134213252606,0.391283220446921,0.124935164732236
"30",30,2023-12-27,"2E","NoFish","NoBirds","NoBirds NoFish",38,1444,"Post","12/27/2023",10.3400463,9.647083333,34.29,1325.474609,1325,-0.306556222266671,0.0939767174104127,-0.0230968623511242,0.466389008409002,1.1531970178787
"31",31,2023-12-27,"3C","NoFish","Birds","Birds NoFish",38,1444,"Post","12/27/2023",10.2099537,8.042916667,31.75,1122.185526,1122,-0.306556222266671,0.0939767174104127,-0.0883835197725907,-0.884813261197408,0.467689115781058
"32",32,2023-12-27,"3E","NoFish","NoBirds","NoBirds NoFish",38,1444,"Post","12/27/2023",10.32268519,7.599166667,23.368,461.98,462,-0.306556222266671,0.0939767174104127,-0.0318094935155899,-1.25858739567244,-1.79448696114117
"33",33,2023-12-27,"4C","Fish","Birds","Birds Fish",38,1444,"Post","12/27/2023",10.25694444,9.25625,35.56,70.20973,70,-0.306556222266671,0.0939767174104127,-0.0648013302832483,0.137187001048853,1.49595096892752
"34",34,2023-12-27,"4E","Fish","NoBirds","NoBirds Fish",38,1444,"Post","12/27/2023",10.23703704,9.755833333,32.512,312.7524359,313,-0.306556222266671,0.0939767174104127,-0.0747918109405037,0.557989993477531,0.673341486410351
"35",35,2023-12-27,"5C","NoFish","Birds","Birds NoFish",38,1444,"Post","12/27/2023",10.26064815,6.9225,29.21,2142.800975,2143,-0.306556222266671,0.0939767174104127,-0.0629426323560914,-1.82854908082405,-0.217818786316586
"36",36,2023-12-27,"5E","NoFish","NoBirds","NoBirds NoFish",38,1444,"Post","12/27/2023",10.3099537,7.1625,29.21,2693.245721,2693,-0.306556222266671,0.0939767174104127,-0.0381987610534424,-1.62639518274178,-0.217818786316586
"37",37,2023-12-27,"6C","Fish","Birds","Birds Fish",38,1444,"Post","12/27/2023",10.31157407,9.36125,27.94,165.8704884,166,-0.306556222266671,0.0939767174104127,-0.0373855822785844,0.225629331459846,-0.560572737365408
"38",38,2023-12-27,"6E","Fish","NoBirds","NoBirds Fish",38,1444,"Post","12/27/2023",10.31087963,9.169166667,29.21,113.0376661,113,-0.306556222266671,0.0939767174104127,-0.0377340853170337,0.0638360209490774,-0.217818786316586
"39",39,2023-12-27,"7C","Fish","Birds","Birds Fish",38,1444,"Post","12/27/2023",10.23402778,9.085833333,33.02,334.19831,334,-0.306556222266671,0.0939767174104127,-0.0763020008107358,-0.00635630533547207,0.810443066829881
"40",40,2023-12-27,"7E","Fish","NoBirds","NoBirds Fish",38,1444,"Post","12/27/2023",10.34305556,8.885416667,32.512,609.42047,609,-0.306556222266671,0.0939767174104127,-0.021586672480892,-0.175168848137774,0.673341486410351
"41",41,2023-12-27,"8C","NoFish","Birds","Birds NoFish",38,1444,"Post","12/27/2023",10.11157407,8.131666667,34.29,1261.434825,1261,-0.306556222266671,0.0939767174104127,-0.137755099716882,-0.810058434302403,1.1531970178787
"42",42,2023-12-27,"8E","NoFish","NoBirds","NoBirds NoFish",38,1444,"Post","12/27/2023",10.11342593,8.249583333,33.02,240.8193757,241,-0.306556222266671,0.0939767174104127,-0.136825748244065,-0.710736293965881,0.810443066829881
"43",43,2024-01-08,"1C","Fish","Birds","Birds Fish",50,2500,"Post","1/8/2024",7.514583333,10.25291667,27.178,34.40276795,34,0.194322325461022,0.0377611661725792,-1.44104863503897,0.97668721950375,-0.766225107994701
"44",44,2024-01-08,"1E","Fish","NoBirds","NoBirds Fish",50,2500,"Post","1/8/2024",7.399074074,9.951666667,25.4,113.0376661,113,0.194322325461022,0.0377611661725792,-1.49901667796639,0.722941959488144,-1.24608063946305
"45",45,2024-01-08,"2C","NoFish","Birds","Birds NoFish",50,2500,"Post","1/8/2024",7.507407407,10.79833333,27.94,49.14681135,49,0.194322325461022,0.0377611661725792,-1.44464985618793,1.43609598574547,-0.560572737365408
"46",46,2024-01-08,"2E","NoFish","NoBirds","NoBirds NoFish",50,2500,"Post","1/8/2024",7.212268519,10.66083333,30.48,265.3927813,265,0.194322325461022,0.0377611661725792,-1.59276459501711,1.3202786483025,0.124935164732236
"47",47,2024-01-08,"3C","NoFish","Birds","Birds NoFish",50,2500,"Post","1/8/2024",7.396990741,10.00875,27.94,324.3689549,324,0.194322325461022,0.0377611661725792,-1.50006219360576,0.771023702327636,-0.560572737365408
"48",48,2024-01-08,"3E","NoFish","NoBirds","NoBirds NoFish",50,2500,"Post","1/8/2024",7.390046296,9.990416667,22.86,137.6110718,138,0.194322325461022,0.0377611661725792,-1.50354724657339,0.755581390949344,-1.9315885415607
"49",49,2024-01-08,"4C","Fish","Birds","Birds Fish",50,2500,"Post","1/8/2024",7.413194444,10.6425,30.48,39.31744909,39,0.194322325461022,0.0377611661725792,-1.49193040435164,1.30483633945113,0.124935164732236
"50",50,2024-01-08,"4E","Fish","NoBirds","NoBirds Fish",50,2500,"Post","1/8/2024",7.054861111,11.27875,35.56,565.1883306,565,0.194322325461022,0.0377611661725792,-1.67175912292797,1.84075474634631,1.49595096892752
"51",51,2024-01-08,"5C","NoFish","Birds","Birds NoFish",50,2500,"Post","1/8/2024",7.340972222,8.515416667,25.908,409.5567613,410,0.194322325461022,0.0377611661725792,-1.52817495220395,-0.486822774347939,-1.10897905904352
"52",52,2024-01-08,"5E","NoFish","NoBirds","NoBirds NoFish",50,2500,"Post","1/8/2024",7.354861111,10.28,25.4,511.126842,511,0.194322325461022,0.0377611661725792,-1.52120484677053,0.999499722556035,-1.24608063946305
"53",53,2024-01-08,"6C","Fish","Birds","Birds Fish",50,2500,"Post","1/8/2024",7.489583333,11.205,24.13,393.174462,393,0.194322325461022,0.0377611661725792,-1.45359482471875,1.77863453808145,-1.58883459051188
"54",54,2024-01-08,"6E","Fish","NoBirds","NoBirds Fish",50,2500,"Post","1/8/2024",7.263657407,11.01583333,25.908,162.1844775,162,0.194322325461022,0.0377611661725792,-1.56697520556585,1.61929795588252,-1.10897905904352
"55",55,2024-01-08,"7C","Fish","Birds","Birds Fish",50,2500,"Post","1/8/2024",7.389351852,10.97958333,27.94,1621.844775,1622,0.194322325461022,0.0377611661725792,-1.50389575161923,1.58876429419301,-0.560572737365408
"56",56,2024-01-08,"7E","Fish","NoBirds","NoBirds Fish",50,2500,"Post","1/8/2024",7.312731481,11.06791667,27.94,226.0753322,226,0.194322325461022,0.0377611661725792,-1.5423474999353,1.66316816507479,-0.560572737365408
"57",57,2024-01-08,"8C","NoFish","Birds","Birds NoFish",50,2500,"Post","1/8/2024",7.171527778,9.894166667,29.21,2132.9716,2133,0.194322325461022,0.0377611661725792,-1.61321023758835,0.674509254739267,-0.217818786316586
"58",58,2024-01-08,"8E","NoFish","NoBirds","NoBirds NoFish",50,2500,"Post","1/8/2024",6.846527778,9.5025,27.94,249.5145807,250,0.194322325461022,0.0377611661725792,-1.77631070342558,0.344605323560349,-0.560572737365408
"59",59,2024-01-22,"1C","Fish","Birds","Birds Fish",64,4096,"Post","1/22/2024",13.19675926,9.405416667,34.29,103.2083038,103,0.77868063114333,0.606343525317775,1.41053764392352,0.262831264373812,1.1531970178787
"60",60,2024-01-22,"1E","Fish","NoBirds","NoBirds Fish",64,4096,"Post","1/22/2024",13.11134259,8.557916667,34.29,108.122985,108,0.77868063114333,0.606343525317775,1.36767149417809,-0.451024688229204,1.1531970178787
"61",61,2024-01-22,"2C","NoFish","Birds","Birds NoFish",64,4096,"Post","1/22/2024",13.19027778,9.362916667,31.115,255.56341,256,0.77868063114333,0.606343525317775,1.40728492882409,0.227033178255076,0.296312140256647
"62",62,2024-01-22,"2E","NoFish","NoBirds","NoBirds NoFish",64,4096,"Post","1/22/2024",13.29305556,9.624166667,28.956,58.97617363,59,0.77868063114333,0.606343525317775,1.45886370973399,0.447086119396714,-0.286369576526351
"63",63,2024-01-22,"3C","NoFish","Birds","Birds NoFish",64,4096,"Post","1/22/2024",13.14953704,9.484583333,31.496,230.9900134,231,0.77868063114333,0.606343525317775,1.38683928675469,0.329513973249132,0.399138325571293
"64",64,2024-01-22,"3E","NoFish","NoBirds","NoBirds NoFish",64,4096,"Post","1/22/2024",13.20763889,9.274166667,29.21,167.099152,167,0.77868063114333,0.606343525317775,1.41599755998855,0.152278351360069,-0.217818786316586
"65",65,2024-01-22,"4C","Fish","Birds","Birds Fish",64,4096,"Post","1/22/2024",13.19907407,9.421666667,33.02,235.9046945,236,0.77868063114333,0.606343525317775,1.41169932573683,0.276518767889798,0.810443066829881
"66",66,2024-01-22,"4E","Fish","NoBirds","NoBirds Fish",64,4096,"Post","1/22/2024",13.24212963,9.870416667,32.512,223.3945985,223,0.77868063114333,0.606343525317775,1.433306654638,0.654504441908209,0.673341486410351
"67",67,2024-01-22,"5C","NoFish","Birds","Birds NoFish",64,4096,"Post","1/22/2024",13.27060185,9.240833333,35.56,122.86703,123,0.77868063114333,0.606343525317775,1.44759536954699,0.124201420509327,1.49595096892752
"68",68,2024-01-22,"5E","NoFish","NoBirds","NoBirds NoFish",64,4096,"Post","1/22/2024",13.21921296,9.6625,39.37,117.9523473,118,0.77868063114333,0.606343525317775,1.42180597909204,0.479374588948529,2.52421282207399
"69",69,2024-01-22,"6C","Fish","Birds","Birds Fish",64,4096,"Post","1/22/2024",13.18425926,9.852083333,35.56,108.12298,108,0.77868063114333,0.606343525317775,1.40426454908362,0.639062129687608,1.49595096892752
"70",70,2024-01-22,"6E","Fish","NoBirds","NoBirds Fish",64,4096,"Post","1/22/2024",13.18958333,9.969583333,30.48,19.658724,20,0.77868063114333,0.606343525317775,1.40693642076716,0.738033308957052,0.124935164732236
"71",71,2024-01-22,"7C","Fish","Birds","Birds Fish",64,4096,"Post","1/22/2024",13.19305556,9.665,29.972,324.368955,324,0.77868063114333,0.606343525317775,1.40867895101484,0.481480358720218,-0.0121664156872926
"72",72,2024-01-22,"7E","Fish","NoBirds","NoBirds Fish",64,4096,"Post","1/22/2024",13.19884259,9.579166667,36.3982,196.5872454,197,0.77868063114333,0.606343525317775,1.41158315805734,0.409182263506289,1.72216857661975
"73",73,2024-01-22,"8C","NoFish","Birds","Birds NoFish",64,4096,"Post","1/22/2024",13.34722222,8.277916667,35.56,7735.70762,7736,0.77868063114333,0.606343525317775,1.48604711736121,-0.686870902658519,1.49595096892752
"74",74,2024-01-22,"8E","NoFish","NoBirds","NoBirds NoFish",64,4096,"Post","1/22/2024",13.38935185,6.40875,33.02,437.4066211,437,0.77868063114333,0.606343525317775,1.50718977052598,-2.26128476890641,0.810443066829881
"75",75,2024-02-05,"1C","Fish","Birds","Birds Fish",78,6084,"Post","2/5/2024",11.97592593,9.640416667,33.655,1871.359356,1871,1.36303893682564,1.85787514330277,0.797865382900074,0.460773622912701,0.981820042354292
"76",76,2024-02-05,"1E","Fish","NoBirds","NoBirds Fish",78,6084,"Post","2/5/2024",12.01087963,9.647083333,29.845,1158.460553,1158,1.36303893682564,1.85787514330277,0.815406812908489,0.466389008409002,-0.0464418107921755
"77",77,2024-02-05,"2C","NoFish","Birds","Birds NoFish",78,6084,"Post","2/5/2024",11.9337963,9.74875,29.845,2752.22181,2752,1.36303893682564,1.85787514330277,0.776722729735303,0.552023646071844,-0.0464418107921755
"78",78,2024-02-05,"2E","NoFish","NoBirds","NoBirds NoFish",78,6084,"Post","2/5/2024",11.95486111,9.781666667,33.02,358.7717229,359,1.36303893682564,1.85787514330277,0.787294053808451,0.579749615013203,0.810443066829881
"79",79,2024-02-05,"3C","NoFish","Birds","Birds NoFish",78,6084,"Post","2/5/2024",11.89513889,9.805416667,31.75,532.4237898,532,1.36303893682564,1.85787514330277,0.757322601799732,0.59975442784426,0.467689115781058
"80",80,2024-02-05,"3E","NoFish","NoBirds","NoBirds NoFish",78,6084,"Post","2/5/2024",11.96666667,9.89,24.13,1323.183383,1323,1.36303893682564,1.85787514330277,0.793218645609895,0.670999638172348,-1.58883459051188
"81",81,2024-02-05,"4C","Fish","Birds","Birds Fish",78,6084,"Post","2/5/2024",11.9,9.703333333,27.94,3538.570417,3539,1.36303893682564,1.85787514330277,0.759762138124304,0.513768828272034,-0.560572737365408
"82",82,2024-02-05,"4E","Fish","NoBirds","NoBirds Fish",78,6084,"Post","2/5/2024",11.89305556,9.882083333,37.338,1572.697964,1573,1.36303893682564,1.85787514330277,0.756277087665908,0.664331366947892,1.97580650039588
"83",83,2024-02-05,"5C","NoFish","Birds","Birds NoFish",78,6084,"Post","2/5/2024",11.97453704,9.361666667,26.035,132.69639,133,1.36303893682564,1.85787514330277,0.797168371804699,0.225980293369231,-1.07470366393864
"84",84,2024-02-05,"5E","NoFish","NoBirds","NoBirds NoFish",78,6084,"Post","2/5/2024",11.9775463,9.7925,30.48,3112.631387,3113,1.36303893682564,1.85787514330277,0.798678561674931,0.588874617076425,0.124935164732236
"85",85,2024-02-05,"6C","Fish","Birds","Birds Fish",78,6084,"Post","2/5/2024",12.03333333,10.04291667,32.004,344.0276795,344,1.36303893682564,1.85787514330277,0.82667514807701,0.799802558681764,0.536239905990822
"86",86,2024-02-05,"6E","Fish","NoBirds","NoBirds Fish",78,6084,"Post","2/5/2024",12.07916667,10.03958333,33.02,308.2979476,308,1.36303893682564,1.85787514330277,0.849676499168937,0.796994860037457,0.810443066829881
"87",87,2024-02-05,"7C","Fish","Birds","Birds Fish",78,6084,"Post","2/5/2024",12.07013889,9.0225,29.21,2490.105109,2490,1.36303893682564,1.85787514330277,0.845145929558242,-0.05970247260419,-0.217818786316586
"88",88,2024-02-05,"7E","Fish","NoBirds","NoBirds Fish",78,6084,"Post","2/5/2024",12.1474537,10.24291667,29.21,311.2631386,311,1.36303893682564,1.85787514330277,0.883946180410909,0.968264140416989,-0.217818786316586
"89",89,2024-02-05,"8C","NoFish","Birds","Birds NoFish",78,6084,"Post","2/5/2024",12.1712963,9.93,25.4,819.1135226,819,1.36303893682564,1.85787514330277,0.895911531693281,0.704691954519392,-1.24608063946305
"90",90,2024-02-05,"8E","NoFish","NoBirds","NoBirds NoFish",78,6084,"Post","2/5/2024",12.28657407,8.481666667,30.48,1744.711803,1745,1.36303893682564,1.85787514330277,0.953763402424596,-0.515250666265758,0.124935164732236
