"","Date","PlotID","CH4Flux","FishTreatment","BirdTreatment","treatment","StudyYear","SamplingOccasion","logFlux","MeanDepth","PO4","Date.y","GravH2O","NH4","NO3","Redox","SoilTemp","Daphnia","ElapsedDays","ElapsedDays2","MeanTemp","MeanDO","Pre_Post"
"56",2024-11-26,"7C",321.877275,"Fish","Birds","Birds Fish","Year2","2024-11-26",5.77417033935419,19.685,NA,"11/26/2024",0.36,3.52,0.02,-15.2,12.4,3784.304474,56,3136,12.4308333333333,9.96791666666667,"Pre"
"57",2024-11-26,"7E",1085.04014,"Fish","NoBirds","NoBirds Fish","Year2","2024-11-26",6.98937226068195,24.13,NA,"11/26/2024",0.97,120.29,0.02,-90.3,12.4,3501.710309,56,3136,12.4708333333333,6.55208333333333,"Pre"
"58",2024-11-26,"8E",5.69616,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-11-26",1.7397922636028,13.335,NA,"11/26/2024",0.38,9.97,0.02,-99.2,12.2,2094.081528,56,3136,12.4341666666667,0.0508333333333333,"Pre"
"59",2024-12-10,"1C",24.43272,"Fish","Birds","Birds Fish","Year2","2024-12-10",3.19592321759019,26.67,3.46,"12/10/2024",0.33,3.52,0.02,-137.2,11.1,3214.201462,70,4900,8.74,7.34875,"Post"
"60",2024-12-10,"1E",125.61704,"Fish","NoBirds","NoBirds Fish","Year2","2024-12-10",4.83323791362173,22.86,3.61,"12/10/2024",0.34,2.58,0.02,-128.1,10.2,3563.143824,70,4900,9.06666666666667,7.54958333333333,"Post"
"61",2024-12-10,"2C",19.65708,"NoFish","Birds","Birds NoFish","Year2","2024-12-10",2.9784375787644,25.4,3.57,"12/10/2024",0.36,4.79,0.02,-67.2,9.8,430.0345993,70,4900,9.03333333333333,7.68291666666667,"Post"
"62",2024-12-10,"2E",8.30059,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-12-10",2.11632659661353,22.86,5.31,"12/10/2024",0.35,5.59,0.02,-92.5,9.8,1204.096878,70,4900,8.70833333333333,7.90333333333333,"Post"
"63",2024-12-10,"3C",119.856395,"NoFish","Birds","Birds NoFish","Year2","2024-12-10",4.78629431782151,27.94,3.35,"12/10/2024",0.38,5.85,0.02,NA,10.3,1056.656444,70,4900,8.81333333333333,8.25833333333333,"Post"
"64",2024-12-10,"3E",1180.28287,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-12-10",7.07350940907036,21.59,3.17,"12/10/2024",0.32,7.69,0.02,NA,10.3,630.7174124,70,4900,9.00666666666667,8.92666666666667,"Post"
"65",2024-12-10,"4C",531.85475,"Fish","Birds","Birds Fish","Year2","2024-12-10",6.27637042574738,30.48,2.3,"12/10/2024",0.33,3.19,0.02,-98.9,10.2,589.7617363,70,4900,9.18833333333333,8.95291666666667,"Post"
"66",2024-12-10,"4E",154.63577,"Fish","NoBirds","NoBirds Fish","Year2","2024-12-10",5.04107248067184,24.13,3.79,"12/10/2024",0.37,8.43,0.02,-75.2,9.4,2997.955492,70,4900,8.57,8.5525,"Post"
"67",2024-12-10,"5C",1019.94341,"NoFish","Birds","Birds NoFish","Year2","2024-12-10",6.92750242434707,26.67,5.38,"12/10/2024",0.4,6.95,0.02,-80,9.4,688.055359,70,4900,8.72,8.74708333333333,"Post"
"68",2024-12-10,"5E",9.395205,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-12-10",2.24019945274446,27.94,2.41,"12/10/2024",0.34,6.6,0.02,NA,9.4,581.570601,70,4900,8.945,8.91875,"Post"
"69",2024-12-10,"6C",285.73079,"Fish","Birds","Birds Fish","Year2","2024-12-10",5.65505007381844,30.48,5.78,"12/10/2024",0.39,7.08,0.02,-47.1,10.3,712.6287647,70,4900,9.04333333333333,9.49583333333333,"Post"
"70",2024-12-10,"6E",105.68449,"Fish","NoBirds","NoBirds Fish","Year2","2024-12-10",4.66045814606399,25.4,3.86,"12/10/2024",0.37,6.35,0.02,-104.6,10.3,914.1306912,70,4900,8.40833333333333,7.70208333333333,"Post"
"71",2024-12-10,"7C",19.054655,"Fish","Birds","Birds Fish","Year2","2024-12-10",2.94731142867779,30.48,5.56,"12/10/2024",0.36,4.97,0.02,-99.6,11.1,669.6253047,70,4900,8.69916666666667,8.95541666666667,"Post"
"72",2024-12-10,"7E",7.766135,"Fish","NoBirds","NoBirds Fish","Year2","2024-12-10",2.04977261462478,25.4,5.16,"12/10/2024",0.41,6.52,0.02,NA,10.3,495.1541244,70,4900,8.98833333333333,8.91625,"Post"
"73",2024-12-10,"8C",529.32786,"NoFish","Birds","Birds NoFish","Year2","2024-12-10",6.27160801303513,30.48,7.63,"12/10/2024",0.32,1.51,0.02,-79.6,10.8,602.8675526,70,4900,8.665,8.29333333333333,"Post"
"74",2024-12-10,"8E",10.382905,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-12-10",2.34016070370804,15.24,4.98,"12/10/2024",0.4,13.7,0.02,-69.4,11,1012.424314,70,4900,8.33583333333333,6.00541666666667,"Post"
"75",2024-12-22,"1C",12.61067,"Fish","Birds","Birds Fish","Year2","2024-12-22",2.53454328099993,17.78,NA,"12/22/2024",0.39,7.29,0.02,-134.7,NA,2041.482933,82,6724,10.81,8.321875,"Post"
"76",2024-12-22,"1E",18.33331,"Fish","NoBirds","NoBirds Fish","Year2","2024-12-22",2.90871962383628,17.78,NA,"12/22/2024",0.32,4.39,0.02,-119.2,NA,5430.722654,82,6724,11.5916666666667,9.42291666666667,"Post"
"77",2024-12-22,"2C",9.27404,"NoFish","Birds","Birds NoFish","Year2","2024-12-22",2.22721909909346,20.066,NA,"12/22/2024",0.43,10.15,0.02,-53.4,NA,1523.551152,82,6724,11.5525,5.94583333333333,"Post"
"78",2024-12-22,"2E",8.977615,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-12-22",2.19473425683834,19.05,NA,"12/22/2024",0.35,4.57,0.02,-133,NA,2948.808681,82,6724,11.4313043478261,5.92173913043478,"Post"
"79",2024-12-22,"3C",10.61199,"NoFish","Birds","Birds NoFish","Year2","2024-12-22",2.36198449394561,24.13,NA,"12/22/2024",0.38,3.2,0.02,-91.7,NA,1081.22985,82,6724,11.52,9.505,"Post"
"80",2024-12-22,"3E",306.57341,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-12-22",5.72545723730177,17.78,NA,"12/22/2024",0.35,2.29,0.02,-75.6,NA,2604.781002,82,6724,11.515,6.73458333333333,"Post"
"81",2024-12-22,"4C",65.38042,"Fish","Birds","Birds Fish","Year2","2024-12-22",4.1802228252583,25.4,NA,"12/22/2024",0.34,2.49,0.02,-97.5,NA,3085.327602,82,6724,10.8917647058824,9.88588235294118,"Post"
"82",2024-12-22,"4E",66.62645,"Fish","NoBirds","NoBirds Fish","Year2","2024-12-22",4.19910164585144,24.13,NA,"12/22/2024",0.34,12.65,0.02,-101.5,NA,2268.314371,82,6724,11.3983333333333,9.65125,"Post"
"83",2024-12-22,"5C",53.19689,"NoFish","Birds","Birds NoFish","Year2","2024-12-22",3.97399993599221,20.32,NA,"12/22/2024",0.33,7.57,0.02,-65.9,NA,786.3489817,82,6724,11.5658333333333,9.23708333333333,"Post"
"84",2024-12-22,"5E",7.07862,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-12-22",1.95707897345294,19.05,NA,"12/22/2024",0.41,10.38,0.02,-59.4,NA,3735.157663,82,6724,11.5208333333333,9.0075,"Post"
"85",2024-12-22,"6C",232.55988,"Fish","Birds","Birds Fish","Year2","2024-12-22",5.44914774025461,20.32,NA,"12/22/2024",0.28,9.02,0.02,-77.3,NA,614.335142,82,6724,11.5775,10.3866666666667,"Post"
"86",2024-12-22,"6E",565.445756666667,"Fish","NoBirds","NoBirds Fish","Year2","2024-12-22",6.33761436994161,25.4,NA,"12/22/2024",0.38,14.09,0.02,-86.9,NA,807.4119008,82,6724,NA,NA,"Post"
"87",2024-12-22,"7C",11.29472,"Fish","Birds","Birds Fish","Year2","2024-12-22",2.42433535988273,23.495,NA,"12/22/2024",0.4,7.96,0.02,-65.9,NA,1627.988126,82,6724,11.42,9.52291666666667,"Post"
"88",2024-12-22,"7E",48.703465,"Fish","NoBirds","NoBirds Fish","Year2","2024-12-22",3.88575017745484,26.67,NA,"12/22/2024",0.39,7.92,0.02,-59.4,NA,1310.581636,82,6724,11.42,6.93666666666667,"Post"
"89",2024-12-22,"8C",77.3236,"NoFish","Birds","Birds NoFish","Year2","2024-12-22",4.34799921300794,22.86,NA,"12/22/2024",0.35,1.17,0.02,-127.3,NA,1507.91353,82,6724,11.615,5.30083333333333,"Post"
"90",2024-12-22,"8E",17.70213,"NoFish","NoBirds","NoBirds NoFish","Year2","2024-12-22",2.87368497132268,13.97,NA,"12/22/2024",0.42,10.65,0.02,-84.5,NA,3686.010851,82,6724,11.615,1.07708333333333,"Post"
"91",2025-01-10,"1C",9.2526,"Fish","Birds","Birds Fish","Year2","2025-01-10",2.22490459310953,20.32,8.81,"1/9/2025",0.39,8.87,0.02,-118.3,NA,2727.64803,101,10201,10.7908333333333,9.56416666666667,"Post"
"92",2025-01-10,"1E",11.3483,"Fish","NoBirds","NoBirds Fish","Year2","2025-01-10",2.42906795297362,20.32,8.4,"1/9/2025",0.39,6.53,0.02,-117.6,NA,4840.960918,101,10201,10.6158333333333,9.63666666666667,"Post"
"93",2025-01-10,"2C",12.72551,"NoFish","Birds","Birds NoFish","Year2","2025-01-10",2.54360864021892,22.86,3.34,"1/9/2025",0.28,1.11,0.02,-95.6,NA,479.1814107,101,10201,10.7591666666667,9.96541666666667,"Post"
"94",2025-01-10,"2E",14.687315,"NoFish","NoBirds","NoBirds NoFish","Year2","2025-01-10",2.68698419608037,20.32,5.9,"1/9/2025",0.36,6.96,0.02,-117.6,NA,1658.704883,101,10201,10.6491666666667,8.90083333333333,"Post"
"95",2025-01-10,"3C",7.89463,"NoFish","Birds","Birds NoFish","Year2","2025-01-10",2.06618278150491,22.86,5.06,"1/9/2025",0.38,6.83,0.02,-108.9,NA,6516.867186,101,10201,10.7525,8.67791666666667,"Post"
"96",2025-01-10,"3E",85.72054,"NoFish","NoBirds","NoBirds NoFish","Year2","2025-01-10",4.45109247016556,20.32,3.55,"1/9/2025",0.38,3.5,0.02,-98.5,NA,405.4611937,101,10201,10.6508333333333,9.44291666666667,"Post"
"97",2025-01-10,"4C",75.279275,"Fish","Birds","Birds Fish","Year2","2025-01-10",4.32120486451874,25.4,3.92,"1/9/2025",0.37,9.78,0.02,-113.6,NA,1941.299049,101,10201,10.7508333333333,9.715,"Post"
"98",2025-01-10,"4E",48.075075,"Fish","NoBirds","NoBirds Fish","Year2","2025-01-10",3.87276385153603,25.4,8.43,"1/9/2025",0.41,9.32,0.02,-109.5,NA,5511.463845,101,10201,10.5883333333333,9.63458333333333,"Post"
"99",2025-01-10,"5C",22.92824,"NoFish","Birds","Birds NoFish","Year2","2025-01-10",3.13236933858162,27.94,7.99,"1/9/2025",0.4,4.46,0.02,-113.5,NA,2430.036784,101,10201,10.8691666666667,9.565,"Post"
"100",2025-01-10,"5E",5.728575,"NoFish","NoBirds","NoBirds NoFish","Year2","2025-01-10",1.74546680869841,22.86,8.55,"1/9/2025",0.4,3.51,0.02,-110.9,NA,1739.041017,101,10201,10.6975,9.61541666666667,"Post"
"101",2025-01-10,"6C",22.86962,"Fish","Birds","Birds Fish","Year2","2025-01-10",3.12980939224295,25.4,11.07,"1/9/2025",0.36,14.89,0.02,-118.9,NA,81.91135226,101,10201,10.7408333333333,10.02375,"Post"
"102",2025-01-10,"6E",24.34446,"Fish","NoBirds","NoBirds Fish","Year2","2025-01-10",3.19230430824263,22.86,7.79,"1/9/2025",0.34,3.62,0.02,-122.4,NA,122.8670284,101,10201,10.5741666666667,5.41666666666667,"Post"
"103",2025-01-10,"7C",37.033665,"Fish","Birds","Birds Fish","Year2","2025-01-10",3.61182736383296,25.4,10.14,"1/9/2025",0.41,13.09,0.02,-106.4,NA,208.8739483,101,10201,10.79,9.85083333333333,"Post"
"104",2025-01-10,"7E",38.84818,"Fish","NoBirds","NoBirds Fish","Year2","2025-01-10",3.65966122886946,27.94,10.49,"1/9/2025",0.34,8.2,0.02,-109.9,NA,330.2665724,101,10201,10.6516666666667,6.15833333333333,"Post"
"105",2025-01-10,"8C",29.23967,"NoFish","Birds","Birds NoFish","Year2","2025-01-10",3.37552634890818,22.86,10.29,"1/9/2025",0.34,1.22,0.02,-137.7,NA,3580.696256,101,10201,10.6041666666667,8.88083333333333,"Post"
"106",2025-01-10,"8E",8.37839,"NoFish","NoBirds","NoBirds NoFish","Year2","2025-01-10",2.12565577193078,7.62,3.66,"1/9/2025",0.34,1.01,0.02,-102.4,NA,4774.261675,101,10201,10.5316666666667,7.77458333333333,"Post"
"107",2025-01-21,"1C",6.70643,"Fish","Birds","Birds Fish","Year2","2025-01-21",1.90306676767041,22.86,NA,"1/22/2025",0.33,4.51,0.02,-154.3,NA,3268.262956,112,12544,8.52,9.87541666666667,"Post"
"108",2025-01-21,"1E",9.61992,"Fish","NoBirds","NoBirds Fish","Year2","2025-01-21",2.26383594863472,21.59,NA,"1/22/2025",0.33,5.23,0.02,-140.1,NA,6167.924825,112,12544,8.67333333333333,4.9275,"Post"
"109",2025-01-21,"2C",20.40663,"NoFish","Birds","Birds NoFish","Year2","2025-01-21",3.01585984804911,22.86,NA,"1/22/2025",0.36,5.61,0.02,-140.2,NA,1290.103798,112,12544,8.79083333333333,10.6420833333333,"Post"
"110",2025-01-21,"2E",84.87474,"NoFish","NoBirds","NoBirds NoFish","Year2","2025-01-21",4.44117652254574,27.94,NA,"1/22/2025",0.4,7.44,0.02,-143.6,NA,2562.655163,112,12544,8.45416666666667,8.49125,"Post"
"111",2025-01-21,"3C",8.69147,"NoFish","Birds","Birds NoFish","Year2","2025-01-21",2.16234208492534,25.4,NA,"1/22/2025",0.37,4.57,0.02,-137.8,NA,4349.492805,112,12544,8.6475,8.88083333333333,"Post"
"112",2025-01-21,"3E",7.69319,"NoFish","NoBirds","NoBirds NoFish","Year2","2025-01-21",2.04033552194901,27.94,NA,"1/22/2025",0.33,2.82,0.02,NA,NA,1419.114178,112,12544,8.6425,9.94333333333333,"Post"
"113",2025-01-21,"4C",12.8917,"Fish","Birds","Birds Fish","Year2","2025-01-21",2.55658369343732,29.21,NA,"1/22/2025",0.35,4.5,0.02,NA,NA,7175.434457,112,12544,8.80416666666667,10.485,"Post"
