"","PlotID","Date","C13PW","C13Gas","FishOnField","FishTreatment","BirdTreatment","treatment","StudyYear"
"62","8E",2025-01-22,-56.06,-56.69,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"63","8C",2025-01-22,-58.52,-45.75,"Y","NoFish","Birds","Birds NoFish","Year2"
"64","1E",2025-02-04,-47.21,-59.47,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"65","1C",2025-02-04,-41.82,-53.61,"Y","Fish","Birds","Birds Fish","Year2"
"66","2E",2025-02-04,-44.68,-44.23,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"67","2C",2025-02-04,-44.07,-44.53,"Y","NoFish","Birds","Birds NoFish","Year2"
"68","3E",2025-02-04,-51.25,-52.52,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"69","3C",2025-02-04,-43.44,-52.49,"Y","NoFish","Birds","Birds NoFish","Year2"
"70","4E",2025-02-04,-49.17,-48.81,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"71","4C",2025-02-04,-43.76,NA,"Y","Fish","Birds","Birds Fish","Year2"
"72","5E",2025-02-04,-45.22,-44.84,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"73","5C",2025-02-04,-56.34,-58.53,"Y","NoFish","Birds","Birds NoFish","Year2"
"74","6E",2025-02-04,-44.6,-56.5,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"75","6C",2025-02-04,-43.79,-43.94,"Y","Fish","Birds","Birds Fish","Year2"
"76","7E",2025-02-04,-42.86,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"77","7C",2025-02-04,-48.49,-41.33,"Y","Fish","Birds","Birds Fish","Year2"
"78","8E",2025-02-04,-56.69,-48.15,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"79","8C",2025-02-04,-45.75,-47.13,"Y","NoFish","Birds","Birds NoFish","Year2"
"80","1E",2025-02-18,-57.94,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"81","1C",2025-02-18,-61.6,NA,"Y","Fish","Birds","Birds Fish","Year2"
"82","2E",2025-02-18,-60.02,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"83","2C",2025-02-18,-58.96,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"84","3E",2025-02-18,-58.81,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"85","3C",2025-02-18,-51.1,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"86","4E",2025-02-18,-58.31,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"87","4C",2025-02-18,-59.07,NA,"Y","Fish","Birds","Birds Fish","Year2"
"88","5E",2025-02-18,-47.95,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"89","5C",2025-02-18,-59.01,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"90","6E",2025-02-18,-57.72,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"91","6C",2025-02-18,-55.48,NA,"Y","Fish","Birds","Birds Fish","Year2"
"92","7E",2025-02-18,-51.09,NA,"Y","Fish","NoBirds","NoBirds Fish","Year2"
"93","7C",2025-02-18,-58.89,NA,"Y","Fish","Birds","Birds Fish","Year2"
"94","8E",2025-02-18,-57.3,NA,"Y","NoFish","NoBirds","NoBirds NoFish","Year2"
"95","8C",2025-02-18,-58.71,NA,"Y","NoFish","Birds","Birds NoFish","Year2"
"96","1E",2025-06-04,-44.6,-62.96,"N","Fish","NoBirds","NoBirds Fish","Year2"
"97","1C",2025-06-04,-50.36,-59.35,"N","Fish","Birds","Birds Fish","Year2"
"98","2E",2025-06-04,-50.29,-59.35,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"99","2C",2025-06-04,-52.54,-61.19,"N","NoFish","Birds","Birds NoFish","Year2"
"100","3C",2025-06-04,-52.1,-60.13,"N","NoFish","Birds","Birds NoFish","Year2"
"101","4E",2025-06-04,-51.2,-51,"N","Fish","NoBirds","NoBirds Fish","Year2"
"102","4C",2025-06-04,-55.67,-57.67,"N","Fish","Birds","Birds Fish","Year2"
"103","5E",2025-06-04,-54.15,-60.01,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"104","5C",2025-06-04,-54.28,-59.56,"N","NoFish","Birds","Birds NoFish","Year2"
"105","6E",2025-06-04,-50.44,-50.67,"N","Fish","NoBirds","NoBirds Fish","Year2"
"106","6C",2025-06-04,-55.73,-58.7,"N","Fish","Birds","Birds Fish","Year2"
"107","7E",2025-06-04,-56.07,-56.19,"N","Fish","NoBirds","NoBirds Fish","Year2"
"108","7C",2025-06-04,-48,-58.55,"N","Fish","Birds","Birds Fish","Year2"
"109","8E",2025-06-04,-51.4,-56.9,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"110","8C",2025-06-04,-57.12,-55.46,"N","NoFish","Birds","Birds NoFish","Year2"
"111","1E",2025-06-18,-62.84,-48.27,"N","Fish","NoBirds","NoBirds Fish","Year2"
"112","1C",2025-06-18,-59.43,-45.15,"N","Fish","Birds","Birds Fish","Year2"
"113","2E",2025-06-18,-58.14,-44.83,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"114","2C",2025-06-18,-58.38,-44.74,"N","NoFish","Birds","Birds NoFish","Year2"
"115","3C",2025-06-18,-59.18,-46.26,"N","NoFish","Birds","Birds NoFish","Year2"
"116","4E",2025-06-18,-56.98,-45.07,"N","Fish","NoBirds","NoBirds Fish","Year2"
"117","4C",2025-06-18,-48.94,-45.82,"N","Fish","Birds","Birds Fish","Year2"
"118","5E",2025-06-18,-66.19,-49.06,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"119","5C",2025-06-18,-63.35,-47.09,"N","NoFish","Birds","Birds NoFish","Year2"
"120","6E",2025-06-18,-59.62,-49.12,"N","Fish","NoBirds","NoBirds Fish","Year2"
"121","6C",2025-06-18,-57.08,-54.53,"N","Fish","Birds","Birds Fish","Year2"
"122","7E",2025-06-18,-57.47,-57.75,"N","Fish","NoBirds","NoBirds Fish","Year2"
"123","7C",2025-06-18,-57.7,-53.52,"N","Fish","Birds","Birds Fish","Year2"
"124","8E",2025-06-18,-62.56,-52.07,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"125","1E",2025-07-02,-59.15,-55.34,"N","Fish","NoBirds","NoBirds Fish","Year2"
"126","1C",2025-07-02,-64,-47.99,"N","Fish","Birds","Birds Fish","Year2"
"127","2E",2025-07-02,-63.27,-47.81,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"128","2C",2025-07-02,-59.03,-47.48,"N","NoFish","Birds","Birds NoFish","Year2"
"129","3E",2025-07-02,-56.83,-52.11,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"130","3C",2025-07-02,-60.67,-48.93,"N","NoFish","Birds","Birds NoFish","Year2"
"131","4E",2025-07-02,-61.78,-52.44,"N","Fish","NoBirds","NoBirds Fish","Year2"
"132","4C",2025-07-02,-55.23,-57.69,"N","Fish","Birds","Birds Fish","Year2"
"133","5E",2025-07-02,-59.81,-54.86,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"134","5C",2025-07-02,-61.17,-54.57,"N","NoFish","Birds","Birds NoFish","Year2"
"135","6E",2025-07-02,-59.55,-55.02,"N","Fish","NoBirds","NoBirds Fish","Year2"
"136","6C",2025-07-02,-57.04,-54.8,"N","Fish","Birds","Birds Fish","Year2"
"137","7E",2025-07-02,-58.17,-45.26,"N","Fish","NoBirds","NoBirds Fish","Year2"
"138","7C",2025-07-02,-56.39,-57.83,"N","Fish","Birds","Birds Fish","Year2"
"139","8E",2025-07-02,-58.05,-52.83,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"140","8C",2025-07-02,-54.12,-57.33,"N","NoFish","Birds","Birds NoFish","Year2"
"141","1E",2025-07-15,-59.91,-45.18,"N","Fish","NoBirds","NoBirds Fish","Year2"
"142","1C",2025-07-15,-61.35,-49.34,"N","Fish","Birds","Birds Fish","Year2"
"143","2E",2025-07-15,-60.69,-48.94,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"144","2C",2025-07-15,-59.52,-50.2,"N","NoFish","Birds","Birds NoFish","Year2"
"145","3E",2025-07-15,-62.01,-53.82,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"146","3C",2025-07-15,-65.58,-51.16,"N","NoFish","Birds","Birds NoFish","Year2"
"147","4E",2025-07-15,-64.66,-61.41,"N","Fish","NoBirds","NoBirds Fish","Year2"
"148","4C",2025-07-15,-57.89,-57.11,"N","Fish","Birds","Birds Fish","Year2"
"149","5E",2025-07-15,-61.59,-53.35,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"150","5C",2025-07-15,-61.32,-58.22,"N","NoFish","Birds","Birds NoFish","Year2"
"151","6E",2025-07-15,-60.46,-54.99,"N","Fish","NoBirds","NoBirds Fish","Year2"
"152","7E",2025-07-15,-61.21,-53.07,"N","Fish","NoBirds","NoBirds Fish","Year2"
"153","7C",2025-07-15,-59.15,-57.58,"N","Fish","Birds","Birds Fish","Year2"
"154","8E",2025-07-15,-57.49,-53.36,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"155","8C",2025-07-15,-55.6,-54.66,"N","NoFish","Birds","Birds NoFish","Year2"
"156","1E",2025-07-30,-55.85,-47.79,"N","Fish","NoBirds","NoBirds Fish","Year2"
"157","1C",2025-07-30,-63.9,-62.9,"N","Fish","Birds","Birds Fish","Year2"
"158","2E",2025-07-30,-64.08,-61.63,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"159","2C",2025-07-30,-62.34,-50.31,"N","NoFish","Birds","Birds NoFish","Year2"
"160","3E",2025-07-30,-66.8,-62.75,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"161","3C",2025-07-30,-64.03,-59.28,"N","NoFish","Birds","Birds NoFish","Year2"
"162","4E",2025-07-30,-62.15,-59.21,"N","Fish","NoBirds","NoBirds Fish","Year2"
"163","4C",2025-07-30,-55.75,-59.73,"N","Fish","Birds","Birds Fish","Year2"
"164","1E",2025-08-15,-71.78,-56.41,"N","Fish","NoBirds","NoBirds Fish","Year2"
"165","1C",2025-08-15,-63.36,-62.58,"N","Fish","Birds","Birds Fish","Year2"
"166","2E",2025-08-15,-65.03,-62.86,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"167","2C",2025-08-15,-62.56,-54.76,"N","NoFish","Birds","Birds NoFish","Year2"
"168","3E",2025-08-15,-61.9,-62.93,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"169","3C",2025-08-15,-65.62,-66.11,"N","NoFish","Birds","Birds NoFish","Year2"
"170","4E",2025-08-15,-59.13,-62.25,"N","Fish","NoBirds","NoBirds Fish","Year2"
"171","4C",2025-08-15,-57.76,-58.91,"N","Fish","Birds","Birds Fish","Year2"
"172","5E",2025-08-15,-59.14,-60.32,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"173","5C",2025-08-15,-60.86,NA,"N","NoFish","Birds","Birds NoFish","Year2"
"174","6E",2025-08-15,-59.56,-62.35,"N","Fish","NoBirds","NoBirds Fish","Year2"
"175","7E",2025-08-15,-57.1,-61.06,"N","Fish","NoBirds","NoBirds Fish","Year2"
"176","7C",2025-08-15,-59.03,-60.7,"N","Fish","Birds","Birds Fish","Year2"
"177","8E",2025-08-15,-61.13,-59.4,"N","NoFish","NoBirds","NoBirds NoFish","Year2"
"178","8C",2025-08-15,-60.14,-58.62,"N","NoFish","Birds","Birds NoFish","Year2"
